"V1","V2","V3","V4"
"MA0002.2","204","315.98","-6.1666"
"MA0003.4","720","363.06","15.0248"
"MA0004.1","776","284.46","20.4395"
"MA0006.1","590","197.81","19.2733"
"MA0007.3","128","156.66","-1.6522"
"MA0009.2","63","142.7","-4.6819"
"MA0014.3","189","82.99","10.963"
"MA0017.2","218","236.54","-1.2233"
"MA0018.4","147","148.77","-0.1287"
"MA0019.1","65","127.41","-5.2041"
"MA0024.3","118","16.93","15.9715"
"MA0025.2","32","107.37","-7.5472"
"MA0027.2","18","31.62","-1.9815"
"MA0028.2","549","50.24","65.172"
"MA0029.1","55","159.37","-8.1206"
"MA0030.1","67","160.81","-6.9216"
"MA0031.1","28","53.67","-3.2453"
"MA0032.2","106","434.06","-10.3198"
"MA0033.2","152","456.27","-13.0915"
"MA0035.4","25","84.05","-5.8676"
"MA0036.3","62","131.65","-6.2515"
"MA0037.3","34","73.02","-4.5908"
"MA0038.2","107","140.53","-2.7516"
"MA0039.4","2785","949.98","42.6141"
"MA0040.1","50","145.76","-8.0002"
"MA0041.1","238","773.01","-10.5982"
"MA0042.2","129","205.08","-4.6687"
"MA0043.3","29","91.9","-5.6557"
"MA0046.2","65","239.33","-7.0834"
"MA0047.3","86","192.89","-7.2145"
"MA0048.2","671","357.43","11.591"
"MA0050.2","1237","2130.01","-6.7676"
"MA0051.1","119","222.07","-5.7876"
"MA0052.4","77","336.27","-13.995"
"MA0056.2","159","188.22","-2.1983"
"MA0057.1","375","275.81","5.6291"
"MA0058.3","193","81.18","8.3782"
"MA0059.1","218","177.74","2.7402"
"MA0060.3","297","151.08","12.9771"
"MA0062.3","461","358.71","5.0606"
"MA0063.2","62","137.8","-6.1315"
"MA0065.2","356","327.18","1.5567"
"MA0066.1","115","160.24","-3.4479"
"MA0067.1","127","86","3.9146"
"MA0068.2","18","32.86","-1.7949"
"MA0069.1","29","81.89","-5.436"
"MA0070.1","40","133.54","-8.4239"
"MA0071.1","73","158.24","-7.0287"
"MA0072.1","41","110.25","-6.3682"
"MA0073.1","2096","4070.93","-9.7373"
"MA0074.1","88","120.01","-2.5822"
"MA0075.3","33","107.04","-6.2147"
"MA0076.2","852","141.56","50.7606"
"MA0077.1","65","112.15","-4.7049"
"MA0078.1","60","129.78","-5.8242"
"MA0079.4","1712","294.66","61.0907"
"MA0080.5","452","849.21","-9.7646"
"MA0081.2","470","553.28","-2.6043"
"MA0083.3","44","115.96","-5.3513"
"MA0084.1","27","80.04","-5.6731"
"MA0087.1","129","396.27","-12.0659"
"MA0088.2","1839","193.17","114.3844"
"MA0089.2","76","165.88","-6.9082"
"MA0090.3","160","190.74","-2.1076"
"MA0091.1","92","206.74","-6.5537"
"MA0092.1","148","194.29","-3.0473"
"MA0093.3","226","187.48","2.7511"
"MA0095.2","485","274.48","12.5935"
"MA0098.3","377","88.14","30.2992"
"MA0099.3","58","122.41","-5.3925"
"MA0100.3","79","138.19","-4.6022"
"MA0101.1","259","155.8","7.1535"
"MA0102.4","26","113.71","-7.0055"
"MA0103.3","565","376.32","8.11"
"MA0104.4","475","209.87","11.3814"
"MA0105.4","325","194.32","6.1773"
"MA0106.3","160","192.52","-1.6821"
"MA0107.1","261","176.8","5.6388"
"MA0108.2","44","123.72","-6.74"
"MA0109.1","19","92.16","-7.4119"
"MA0111.1","148","192.2","-3.2822"
"MA0112.3","166","197.45","-1.6326"
"MA0113.3","119","149.35","-1.6885"
"MA0114.4","119","184.24","-4.7497"
"MA0115.1","153","196.24","-3.0066"
"MA0116.1","392","229.22","9.3309"
"MA0117.2","46","145.49","-7.8806"
"MA0119.1","212","207.81","0.233"
"MA0122.3","41","152.81","-8.6762"
"MA0124.2","68","112.44","-4.3191"
"MA0125.1","33","42.72","-1.3249"
"MA0130.1","413","718.75","-10.5033"
"MA0131.2","446","36.23","72.9729"
"MA0132.2","12","53.65","-5.5694"
"MA0135.1","22","197.13","-8.1738"
"MA0136.2","383","168.15","16.0056"
"MA0137.3","486","244.79","13.3759"
"MA0138.2","310","255.23","2.7652"
"MA0139.1","588","340.7","14.828"
"MA0140.2","57","129.39","-6.6033"
"MA0141.3","150","178.48","-1.9444"
"MA0142.1","240","248.84","-0.5366"
"MA0143.4","58","154.03","-7.8028"
"MA0144.2","744","330.61","20.0346"
"MA0145.3","89","70.58","1.5962"
"MA0146.2","1434","329.41","50.5858"
"MA0147.3","355","131.4","15.4291"
"MA0148.4","65","168.56","-8.0514"
"MA0149.1","1689","2407.78","-3.0315"
"MA0150.2","113","168.92","-3.8456"
"MA0151.1","494","1743.35","-22.2176"
"MA0152.1","263","480.41","-9.2209"
"MA0153.2","26","102.98","-5.412"
"MA0154.4","616","402.17","8.0896"
"MA0155.1","448","261.41","10.4935"
"MA0156.2","381","54.89","51.9724"
"MA0157.2","37","61.89","-3.1387"
"MA0158.2","16","26.66","-1.3531"
"MA0159.1","152","175.1","-1.7665"
"MA0160.1","137","133.2","0.3396"
"MA0161.2","222","226.66","-0.3085"
"MA0162.4","2387","2884.01","-2.5356"
"MA0163.1","1294","480.51","31.9323"
"MA0164.1","158","200.6","-2.5793"
"MA0258.2","201","261.26","-3.1074"
"MA0259.1","132","41.73","11.3924"
"MA0442.2","187","299.69","-6.3902"
"MA0461.2","27","114.92","-5.8372"
"MA0462.2","64","139.01","-5.4853"
"MA0463.2","142","140.22","0.1604"
"MA0464.2","230","62.55","16.3542"
"MA0465.2","50","205.51","-10.7641"
"MA0466.2","35","29.51","0.905"
"MA0467.1","77","120.74","-3.9974"
"MA0468.1","27","115.42","-8.4412"
"MA0469.3","49","24.05","4.1053"
"MA0470.2","105","14.48","20.4014"
"MA0471.2","1435","531.87","21.1341"
"MA0472.2","593","116.11","35.7751"
"MA0473.3","559","368.62","10.4766"
"MA0474.2","380","77.65","32.881"
"MA0475.2","384","75.72","34.1615"
