NAME	NES_2H	FDR_2H	NES_6H	FDR_6H	NES_24H	FDR_24H
GOBP_DENDRITIC_CELL_CYTOKINE_PRODUCTION	1.7075875	1.0	1.5779226	1.0	1.5367751	0.8008721
GOBP_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	1.6989362	1.0	1.669376	1.0	1.5465078	0.7798563
GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	1.6836909	1.0	1.5468214	1.0	1.4939697	0.74989754
GOBP_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	1.6769297	1.0	1.471191	0.9949361	1.5828495	0.78865004
GOBP_GLYCOLIPID_CATABOLIC_PROCESS	1.6743859	1.0	-0.9497073	0.99156076	1.0553141	0.892268
GOBP_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION	1.6681337	1.0	1.4294031	0.9825665	0.85423625	0.94394076
GOBP_STEM_CELL_DIVISION	1.6651732	1.0	0.9719805	0.96698815	0.7514898	0.9710324
GOBP_RESPONSE_TO_GROWTH_HORMONE	1.665064	1.0	1.6497536	1.0	1.5003356	0.7490191
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	1.6641215	1.0	1.6768758	1.0	1.4437785	0.7682443
GOBP_PROTEIN_AUTOPROCESSING	1.6640706	1.0	1.2474957	0.937504	1.6347854	0.8025318
GOBP_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS	1.645931	1.0	1.6822641	1.0	1.6384577	0.8127062
GOBP_MEMBRANE_LIPID_CATABOLIC_PROCESS	1.6429341	1.0	-0.8285488	1.0	1.156674	0.8552029
GOBP_TROPHOBLAST_GIANT_CELL_DIFFERENTIATION	1.6309032	1.0	1.1147723	0.93707556	1.1126088	0.8760264
GOBP_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS	1.6306804	1.0	1.855004	0.5269192	1.1776508	0.8441058
GOBP_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	1.625297	1.0	1.5036533	0.9292619	1.2927806	0.78749996
GOBP_STRESS_RESPONSE_TO_METAL_ION	1.618837	1.0	-1.1003984	0.96916264	-1.1776259	1.0
GOBP_POSITIVE_T_CELL_SELECTION	1.6182233	1.0	1.2061943	0.92963886	0.5053861	0.9958929
GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	1.6044581	1.0	1.3419579	0.9462317	1.0337697	0.898441
GOBP_REGULATION_OF_ASTROCYTE_DIFFERENTIATION	1.6029996	1.0	1.6781459	1.0	0.75152373	0.9713689
