"V1","V2","V3","V4"
"wgEncodeAwgDnaseUwdukeK562UniPk.narrowPeak","24724","9968.86","42.9019"
"wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk.narrowPeak","1208","475.4","18.676"
"wgEncodeAwgTfbsBroadK562CtcfUniPk.narrowPeak","11990","2576.28","94.0644"
"wgEncodeAwgTfbsBroadK562Ezh239875UniPk.narrowPeak","203","83.24","9.3765"
"wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk.narrowPeak","1458","610.61","23.0892"
"wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk.narrowPeak","658","267.88","15.4503"
"wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk.narrowPeak","159","52.31","6.3991"
"wgEncodeAwgTfbsBroadK562P300UniPk.narrowPeak","267","125.99","9.2395"
"wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk.narrowPeak","2556","1133.07","22.8963"
"wgEncodeAwgTfbsBroadK562Plu1UniPk.narrowPeak","1806","789.08","20.5197"
"wgEncodeAwgTfbsBroadK562Pol2bUniPk.narrowPeak","1288","583.05","19.6341"
"wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk.narrowPeak","1587","723.4","17.3964"
"wgEncodeAwgTfbsBroadK562Sap3039731UniPk.narrowPeak","1188","508.76","22.2403"
"wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk.narrowPeak","2130","801.86","32.3127"
"wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk.narrowPeak","194","81.55","10.4889"
"wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk.narrowPeak","650","231.21","21.1951"
"wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk.narrowPeak","2545","1050.95","29.6416"
"wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk.narrowPeak","2473","1107.34","26.1041"
"wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk.narrowPeak","11045","2235.59","104.7798"
"wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk.narrowPeak","2397","581.57","60.5237"
"wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk.narrowPeak","3095","1232.09","28.8079"
"wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk.narrowPeak","4452","1849.96","30.2436"
"wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk.narrowPeak","3589","1384.31","32.3901"
"wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk.narrowPeak","1358","551.76","22.9917"
"wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk.narrowPeak","1129","558.27","18.4697"
"wgEncodeAwgTfbsHaibK562GabpV0416101UniPk.narrowPeak","1662","729.85","28.06"
