peaks	fraction_peak_loci
wgEncodeAwgDnaseUwdukeK562UniPk.narrowPeak	0.887624466571835
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk.narrowPeak	0.08357041251778094
wgEncodeAwgTfbsBroadK562CtcfUniPk.narrowPeak	0.8327406353722143
wgEncodeAwgTfbsBroadK562Ezh239875UniPk.narrowPeak	0.018255097202465622
wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk.narrowPeak	0.12031768610715979
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk.narrowPeak	0.06104788999525842
wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk.narrowPeak	0.012802275960170697
wgEncodeAwgTfbsBroadK562P300UniPk.narrowPeak	0.02536747273589379
wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk.narrowPeak	0.16500711237553342
wgEncodeAwgTfbsBroadK562Plu1UniPk.narrowPeak	0.1327643432906591
wgEncodeAwgTfbsBroadK562Pol2bUniPk.narrowPeak	0.1075154101469891
wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk.narrowPeak	0.12707444286391656
wgEncodeAwgTfbsBroadK562Sap3039731UniPk.narrowPeak	0.0992176386913229
wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk.narrowPeak	0.19772403982930298
wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk.narrowPeak	0.01896633475580844
wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk.narrowPeak	0.057847321005215745
wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk.narrowPeak	0.2243954480796586
wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk.narrowPeak	0.22522522522522523
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk.narrowPeak	0.8211237553342816
wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk.narrowPeak	0.23482693219535325
wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk.narrowPeak	0.22937411095305832
wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk.narrowPeak	0.31685633001422475
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk.narrowPeak	0.2888809862494073
wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk.narrowPeak	0.120791844476055
wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk.narrowPeak	0.112375533428165
wgEncodeAwgTfbsHaibK562GabpV0416101UniPk.narrowPeak	0.15694642010431484
wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk.narrowPeak	0.15457562825983878
wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk.narrowPeak	0.07882882882882883
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk.narrowPeak	0.40208629682313896
