NAME	NES_dTAG_DMSO	FDR_dTAG_DMSO	NES_RA+dTAG_RA+DMSO	FDR_RA+dTAG_RA+DMSO
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CONTRACTION	1.9966904	0.0074681565	1.812976	0.07092241
GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	1.9758556	0.0071344073	1.5812083	0.17565508
GOBP_CATECHOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1.9297434	0.020017574	1.1302613	0.5624605
GOBP_RESPONSE_TO_PROTOZOAN	1.9197811	0.019222053	0.9850936	0.751153
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	1.9195455	0.0154544385	1.8555573	0.05848392
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	1.9187747	0.013197959	1.4763346	0.25027478
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	1.8856418	0.026037728	1.3643726	0.3404952
GOBP_RESPONSE_TO_IRON_ION	1.8725486	0.031008128	1.6327296	0.14762588
GOBP_POSITIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE	1.8565776	0.04076927	1.5086875	0.22856031
GOBP_AMINE_CATABOLIC_PROCESS	1.8242542	0.07394502	1.6687981	0.12793949
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH	1.8222115	0.07002546	0.9391452	0.8028515
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_APOPTOTIC_PROCESS	1.8096999	0.08337509	0.8623391	0.8784212
GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	1.8032161	0.08857088	0.76617295	0.9539329
GOBP_UTERUS_DEVELOPMENT	1.7963159	0.09499815	-0.8276237	0.9836939
GOBP_INTRACELLULAR_SODIUM_ION_HOMEOSTASIS	1.7931061	0.09459582	1.3991766	0.3131976
GOBP_POSITIVE_REGULATION_OF_CELL_MATURATION	1.7839803	0.106283	-1.0009198	0.9275734
GOBP_INTRACELLULAR_POTASSIUM_ION_HOMEOSTASIS	1.7826084	0.10279692	1.355576	0.34633362
GOBP_AMINE_BIOSYNTHETIC_PROCESS	1.7804358	0.10130526	0.97341806	0.76721036
GOBP_POSITIVE_REGULATION_OF_CAMP_MEDIATED_SIGNALING	1.7803682	0.09610459	1.7717938	0.07913157
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	1.775999	0.09922551	1.2071284	0.48349473
GOBP_DOPAMINE_BIOSYNTHETIC_PROCESS	1.7713264	0.10347471	0.8256214	0.91164
GOBP_ACROSOME_ASSEMBLY	1.7656271	0.11007807	0.7031105	0.9789965
GOBP_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT	1.7645144	0.10754542	1.4562528	0.2651875
GOBP_AMMONIUM_ION_METABOLIC_PROCESS	1.7622187	0.107665405	1.1578599	0.5351173
GOBP_NEURON_FATE_SPECIFICATION	1.7608335	0.106066674	1.5959082	0.16648029
GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION	1.7592384	0.1051674	-0.83635145	0.9783645
