NAME	NES_24H	FDR_24H	NES_48H	FDR_48H	NES_72H	FDR_72H
GOBP_SKELETAL_SYSTEM_MORPHOGENESIS	2.0352924	0.007038438	1.9077367	0.026858915	1.9885072	0.01586313
GOBP_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	2.0077863	0.007608999	2.0634217	0.0023095876	2.1823623	0.0
GOBP_REPRODUCTIVE_BEHAVIOR	2.0070126	0.0051421863	1.9480951	0.025253456	1.9080195	0.03063375
GOBP_TOLERANCE_INDUCTION	2.0057986	0.00401443	1.7557515	0.07208711	1.457369	0.2741079
GOBP_MATING_BEHAVIOR	2.000117	0.00417566	1.9125396	0.027288204	1.8988432	0.029091043
GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	1.9821258	0.0055251955	1.8593358	0.034676198	1.9094704	0.032036573
GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	1.9813501	0.004841215	1.8446032	0.032853067	1.92403	0.033592183
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	1.9790887	0.0044719847	1.5571936	0.17387028	1.232599	0.46805546
GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1.9712844	0.004941722	1.6162271	0.13233107	1.2824905	0.4246501
GOBP_NEURON_FATE_COMMITMENT	1.9709427	0.0044897874	1.9127623	0.03173612	1.794887	0.07662851
GOBP_SPINAL_CORD_DEVELOPMENT	1.9659492	0.0047013685	1.887995	0.033583473	1.6612518	0.13435125
GOBP_INTERLEUKIN_4_PRODUCTION	1.9641335	0.0045548086	1.7432611	0.08053264	1.4089793	0.31188536
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	1.9400377	0.007970914	1.6805837	0.09488971	1.3060068	0.40172678
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	1.932297	0.008779314	1.5324993	0.19662258	1.2976464	0.4089982
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	1.9245123	0.009830049	1.5524775	0.17813985	1.0733024	0.637563
GOBP_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	1.9209181	0.010036213	1.6834992	0.093241505	1.2634771	0.4405155
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	1.9142852	0.010890558	1.5979221	0.1425697	1.0432792	0.6740475
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	1.9117029	0.010943285	1.4716785	0.24864405	0.92245823	0.80618966
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_PROLIFERATION	1.8996849	0.013733963	1.5649906	0.16945301	0.9525233	0.7782427
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	1.8984882	0.013488355	1.4945247	0.23713516	1.1636368	0.53427076
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	1.895137	0.013955036	1.7084465	0.08118631	1.3680326	0.35011834
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CONTRACTION	1.8948661	0.013382498	1.8734607	0.035491064	1.867455	0.048500165
GOBP_INTERLEUKIN_13_PRODUCTION	1.8913752	0.013840115	1.5526261	0.17821945	1.2167767	0.481384
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	1.8862184	0.014839922	1.7849393	0.05687567	1.6567858	0.13653676
GOBP_TRABECULA_FORMATION	1.8739195	0.018617375	1.7825735	0.056991804	1.6379077	0.14290431
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	1.8650743	0.02196696	1.7557032	0.071033575	1.5557227	0.19649947
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	1.8643123	0.021522252	1.8451207	0.03387423	1.7461756	0.091030195
GOBP_TYPE_II_HYPERSENSITIVITY	1.8595433	0.023018941	1.541493	0.18906172	1.051915	0.6648827
GOBP_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION	1.8577712	0.023108428	1.5440967	0.18844068	1.0602969	0.65167034
GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY	1.8560959	0.02311773	1.8554358	0.032355297	1.9001406	0.030044721
GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	1.8546348	0.023156801	1.5336952	0.19489236	1.0571483	0.6560919
GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	1.8530145	0.023246473	1.6317917	0.12295008	1.6769657	0.12728842
GOBP_HORMONE_BIOSYNTHETIC_PROCESS	1.8528483	0.02262758	1.4113433	0.30286884	1.264865	0.4407814
GOBP_DIGESTIVE_TRACT_MORPHOGENESIS	1.8500534	0.023201985	1.89596	0.031190693	1.6265299	0.1472339
GOBP_CARDIAC_MYOFIBRIL_ASSEMBLY	1.8481812	0.02340735	1.5074368	0.22714671	1.5638034	0.18738176
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	1.8474243	0.023101036	1.7346416	0.07657668	1.8629632	0.046330556
GOBP_TRABECULA_MORPHOGENESIS	1.8458383	0.023153847	1.6900915	0.090217195	1.645961	0.14100105
GOBP_REGULATION_OF_BLOOD_CIRCULATION	1.8449935	0.022927972	1.9509361	0.034925986	1.9142225	0.03429859
GOBP_REGULATION_OF_OSSIFICATION	1.8386188	0.025414037	1.6722338	0.100398056	1.7382228	0.097061925
GOBP_ENDOCARDIUM_DEVELOPMENT	1.8381741	0.025035301	1.346242	0.3551585	1.4305184	0.29468566
GOBP_AORTA_MORPHOGENESIS	1.8371392	0.024959005	1.623656	0.1276637	1.470564	0.26464874
GOBP_CARDIAC_ATRIUM_DEVELOPMENT	1.8349769	0.025513226	1.8650074	0.034539904	1.8507318	0.051633935
GOBP_NEGATIVE_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	1.8336523	0.025561374	1.9170005	0.04309241	2.0493405	0.0054092384
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION	1.826469	0.02868947	1.6101807	0.13580328	1.1692508	0.52692544
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	1.8240803	0.029263815	1.4035736	0.30822968	0.78345007	0.9216878
GOBP_VENTRAL_SPINAL_CORD_DEVELOPMENT	1.821722	0.030034281	1.7898992	0.054041754	1.5243831	0.2226793
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	1.8213563	0.029636279	1.9161596	0.03515634	1.9811218	0.01572925
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1.817892	0.03103382	1.4436562	0.2715326	0.83621365	0.8819568
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1.8177153	0.030505331	1.386241	0.3223766	0.87299556	0.8517223
GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY	1.813749	0.03239858	1.812503	0.04483481	1.8118818	0.069378294
GOBP_NEURON_FATE_SPECIFICATION	1.8101267	0.034022465	1.7184216	0.08027913	1.6310881	0.14413758
GOBP_METANEPHROS_DEVELOPMENT	1.809906	0.033509623	1.7657273	0.065728925	1.7016778	0.11700958
GOBP_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT	1.8063651	0.03540438	1.8180424	0.045248955	1.7948163	0.0751671
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1.8058255	0.03513684	1.4106723	0.30244303	0.78537124	0.92143375
GOBP_LONG_TERM_SYNAPTIC_DEPRESSION	1.8053489	0.034841716	1.4823551	0.24459119	1.4596789	0.2750556
GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT	1.8015184	0.03679112	1.7151005	0.08158044	1.6348323	0.14376225
GOBP_CIRCULATORY_SYSTEM_PROCESS	1.8001281	0.037034396	1.7723724	0.06235996	1.7240828	0.10365688
GOBP_CATECHOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1.7964818	0.038896535	1.5961217	0.14400701	1.4444929	0.2792728
GOBP_BLOOD_VESSEL_MORPHOGENESIS	1.7955589	0.038914345	1.7301928	0.07621235	1.6927987	0.121046335
GOBP_REGULATION_OF_MUSCLE_CONTRACTION	1.7944893	0.0389997	1.7318254	0.0750691	1.6812907	0.12539539
GOBP_OUTFLOW_TRACT_MORPHOGENESIS	1.794486	0.03836209	1.7217758	0.078184664	1.7867938	0.07637037
GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	1.7941198	0.03797152	1.8015257	0.048770517	1.7083106	0.11659952
GOBP_URETER_DEVELOPMENT	1.7912928	0.03953176	1.7480516	0.076374836	1.6413363	0.1417056
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	1.790571	0.03942542	1.856866	0.032840397	1.961199	0.021584561
GOBP_HYPERSENSITIVITY	1.7862215	0.042081412	1.4546404	0.26718798	1.0186547	0.7059025
GOBP_BONE_MORPHOGENESIS	1.7848094	0.04251941	1.6297008	0.12343505	1.7472814	0.09162957
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	1.783993	0.042569388	1.7157768	0.082192115	1.7980343	0.07589081
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1.7834429	0.042315107	1.4606538	0.25935596	1.2867217	0.42263559
GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	1.7820345	0.04274079	1.4806565	0.24492387	1.0636895	0.64748573
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	1.7811956	0.042784892	1.8373985	0.03505384	1.692501	0.120656684
GOBP_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	1.7773964	0.0451117	1.4801613	0.24500366	1.4660226	0.27041745
GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1.7765253	0.045205984	1.6393611	0.120186105	1.3482196	0.3660712
GOBP_REGULATION_OF_TUBE_SIZE	1.7765013	0.044596735	1.7804873	0.05792699	1.7414082	0.09460229
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	1.7764782	0.04401252	1.5049952	0.2295917	1.1217763	0.57970816
GOBP_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	1.7714239	0.047490165	1.599604	0.14090763	1.5549469	0.19500692
GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION	1.7708243	0.04735502	1.3858571	0.32193574	1.4988568	0.24360153
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION	1.7671924	0.04979891	1.3198341	0.38245392	1.2423354	0.46055
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	1.7666458	0.049640216	1.5181386	0.21443932	1.0385804	0.68043894
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	1.7665523	0.049091555	1.4740152	0.24903473	1.2696685	0.43766603
GOBP_RESPONSE_TO_PAIN	1.7646366	0.05010862	1.8130753	0.046961907	1.7135811	0.116110526
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	1.7641773	0.049856637	1.6139997	0.13384801	1.4608324	0.2744938
GOBP_ANGIOGENESIS	1.7611537	0.051909607	1.7213773	0.07795728	1.670479	0.13011093
GOBP_SPINAL_CORD_MOTOR_NEURON_DIFFERENTIATION	1.7581201	0.05395701	1.6270602	0.1263645	1.3516649	0.3623135
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	1.7577969	0.053593088	1.6907761	0.091133446	1.6423337	0.14178686
GOBP_ARTERY_MORPHOGENESIS	1.7550803	0.05552164	1.6155504	0.13304278	1.476818	0.26054358
