gene_id	ZFP143_DMSO_rep1	ZFP143_DMSO_rep2	ZFP143_24H_rep1	ZFP143_24H_rep2	ZFP143_48H_rep1	ZFP143_48H_rep2	ZFP143_72H_rep1	ZFP143_72H_rep2
ENSMUSG00000102693.1	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	0	0	1	0	1	0	6	10
ENSMUSG00000102851.1	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	0	0	0	0	0	0	0	0
ENSMUSG00000104017.1	0	0	0	0	0	0	0	0
ENSMUSG00000103025.1	0	0	0	0	0	0	0	0
ENSMUSG00000089699.1	0	0	0	0	0	0	0	0
ENSMUSG00000103201.1	0	0	0	0	0	0	0	0
ENSMUSG00000103147.1	0	0	0	0	0	1	0	2
ENSMUSG00000103161.1	0	0	0	0	0	0	0	0
ENSMUSG00000102331.1	0	0	0	0	0	0	0	0
ENSMUSG00000102348.1	0	0	0	0	0	0	0	0
ENSMUSG00000102592.1	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	0	0	0	0	2	1	0	2
ENSMUSG00000025900.13	0	0	0	0	0	0	0	0
ENSMUSG00000102948.1	0	0	0	0	0	0	0	0
ENSMUSG00000104123.1	0	0	0	0	0	0	0	0
ENSMUSG00000025902.13	2	2	9	9	11	16	16	20
ENSMUSG00000104238.1	0	0	0	0	0	0	0	0
ENSMUSG00000102269.1	23	10	7	11	5	8	4	5
ENSMUSG00000096126.1	1	0	0	0	0	0	0	0
ENSMUSG00000103003.1	0	0	0	0	0	0	0	0
ENSMUSG00000104328.1	0	0	0	0	0	0	0	2
ENSMUSG00000102735.1	0	0	0	0	0	1	0	0
ENSMUSG00000098104.1	8	4	3	6	5	6	8	8
ENSMUSG00000102175.1	2	2	1	0	0	0	1	0
ENSMUSG00000088000.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.1	0	0	0	0	0	0	0	0
ENSMUSG00000103922.1	130	152	152	133	143	135	148	170
ENSMUSG00000033845.13	1790	2367	2204	1897	1831	1615	1192	1621
ENSMUSG00000102275.1	15	12	8	9	10	10	6	12
ENSMUSG00000025903.14	1877	2404	1554	1372	1162	1122	1031	1479
ENSMUSG00000104217.1	0	0	0	0	0	0	0	0
ENSMUSG00000033813.15	1062	1438	1279	1052	1250	1111	903	1378
ENSMUSG00000062588.4	0	3	1	1	0	0	2	1
ENSMUSG00000103280.1	0	0	0	0	0	1	1	5
ENSMUSG00000002459.17	0	0	1	3	10	12	31	34
ENSMUSG00000091305.1	0	0	0	0	0	0	0	0
ENSMUSG00000102653.1	0	0	0	0	0	0	0	0
ENSMUSG00000085623.1	0	0	0	0	0	0	0	0
ENSMUSG00000091665.1	0	0	0	0	0	0	0	0
ENSMUSG00000033793.12	796	1132	972	762	1115	1017	1137	1641
ENSMUSG00000104352.1	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	1	2	0	0	0	2	0	0
ENSMUSG00000102907.1	0	0	0	0	0	0	0	0
ENSMUSG00000025905.14	1	0	3	3	3	11	1	6
ENSMUSG00000103936.1	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	0	0	0	0	0	0	0	0
ENSMUSG00000103090.1	0	0	0	0	0	0	0	0
ENSMUSG00000025907.14	535	777	512	412	466	463	576	770
ENSMUSG00000090031.2	24	21	14	19	26	14	21	24
ENSMUSG00000087247.3	0	0	0	0	0	1	0	0
ENSMUSG00000103355.1	0	0	0	0	0	0	1	0
ENSMUSG00000102706.1	0	0	0	0	0	0	0	0
ENSMUSG00000103845.1	0	2	1	0	0	1	3	2
ENSMUSG00000033740.17	0	1	1	0	1	2	1	1
ENSMUSG00000103329.2	0	0	0	0	0	0	0	0
ENSMUSG00000104385.1	0	0	2	0	0	0	0	0
ENSMUSG00000102135.1	14	8	10	7	11	2	6	8
ENSMUSG00000103282.1	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	0	0	0	0	0	0	0	0
ENSMUSG00000103629.1	0	1	0	0	0	0	0	0
ENSMUSG00000051285.17	983	1359	1118	926	1013	968	762	1089
ENSMUSG00000098201.1	3	0	0	1	1	1	0	4
ENSMUSG00000103509.1	66	75	74	103	90	87	40	94
ENSMUSG00000048538.7	2	4	7	2	5	2	2	3
ENSMUSG00000103709.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	0	0	0	0	0	0	0	0
ENSMUSG00000097797.6	14	12	47	38	19	31	45	54
ENSMUSG00000103498.1	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	2	6	7	4	1	3	7	5
ENSMUSG00000102320.1	0	0	0	0	0	0	0	0
ENSMUSG00000104226.1	0	0	0	0	0	1	1	0
ENSMUSG00000103903.1	1	1	1	0	4	1	1	0
ENSMUSG00000103557.1	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	0	0	0	1	1	1	0	0
ENSMUSG00000102647.1	0	0	0	0	0	0	0	0
ENSMUSG00000086235.1	0	0	0	0	0	0	0	0
ENSMUSG00000102253.1	0	0	0	0	0	0	0	0
ENSMUSG00000093970.1	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	0	0	0	0	0	0	0	0
ENSMUSG00000084353.1	6	5	6	7	5	1	3	7
ENSMUSG00000103933.1	13	13	11	7	10	8	15	9
ENSMUSG00000076135.1	2	0	2	3	0	3	1	1
ENSMUSG00000086195.1	0	0	0	0	0	0	0	0
ENSMUSG00000104504.1	0	0	0	0	0	0	0	0
ENSMUSG00000066693.2	1	1	1	1	0	0	0	0
ENSMUSG00000102316.1	0	0	0	0	0	0	0	0
ENSMUSG00000103819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	0	0	0	0	0	0	0	0
ENSMUSG00000101571.2	1	1	1	1	0	0	0	1
ENSMUSG00000104428.1	0	0	0	0	0	0	0	0
ENSMUSG00000102272.1	0	0	0	0	0	0	0	0
ENSMUSG00000065625.1	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	0	0	0	0	0	0	0	0
ENSMUSG00000061024.8	1147	1431	1054	876	942	788	741	1024
ENSMUSG00000025911.14	71	124	75	73	122	103	73	102
ENSMUSG00000079671.8	2	0	0	0	1	0	0	1
ENSMUSG00000081441.3	5	7	4	3	3	3	2	3
ENSMUSG00000067879.3	0	0	0	0	0	2	0	0
ENSMUSG00000099827.1	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	402	529	408	380	499	527	496	719
ENSMUSG00000045210.8	821	1044	362	331	432	347	534	706
ENSMUSG00000097893.8	7	5	85	72	64	62	64	71
ENSMUSG00000025915.14	536	641	626	487	499	460	371	479
ENSMUSG00000046334.4	0	0	1	0	0	1	1	0
