"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000025902.13" 10.5704777586166 3.1251097607759 0.934344638178559 2.71864059176985 0.00655507915782293 0.0351902939216966
"ENSMUSG00000103922.1" 144.628180811083 0.133393751049696 0.192175861268605 0 1 1
"ENSMUSG00000033845.13" 1803.06178760103 -0.607888455036364 0.0631606900263122 -0.362978211695556 0.716621160488168 1
"ENSMUSG00000102275.1" 10.2076861540629 -0.682175850855223 0.70601139344042 -0.137693741258683 0.890482466035084 1
"ENSMUSG00000025903.14" 1484.34559083776 -0.820686832889993 0.068906807060864 -3.42091503326552 0.000624108273602795 0.00415533228797716
"ENSMUSG00000033813.15" 1169.92121466546 -0.183979924404537 0.0804724136129759 0 1 1
"ENSMUSG00000002459.17" 11.1384385458039 7.42643609386198 1.55520345297875 4.39908590740141 1.08707790895731e-05 9.787163212173e-05
"ENSMUSG00000033793.12" 1053.15840356855 0.482011493453409 0.0842372744238034 0 1 1
"ENSMUSG00000025907.14" 554.634738150236 -0.000351052562053676 0.105153430158921 0 1 1
"ENSMUSG00000090031.2" 20.3153536815246 -0.0568197070410718 0.51145510413459 0 1 1
"ENSMUSG00000051285.17" 1016.51954893146 -0.384605150186952 0.0823811563985104 0 1 1
"ENSMUSG00000103509.1" 78.1760142354873 -0.163744703780134 0.303350386057511 0 1 1
"ENSMUSG00000097797.6" 32.417155341755 1.8774084508824 0.457634652442988 2.82418724906821 0.00474006835318449 0.0263567220512843
"ENSMUSG00000103933.1" 10.798525631455 -0.120984798773787 0.685474294445155 0 1 1
"ENSMUSG00000061024.8" 990.202181039339 -0.596015750345372 0.080519898651075 -0.137273516352947 0.890814603131219 1
"ENSMUSG00000025911.14" 91.5698437758403 -0.186996254680375 0.245982354830725 0 1 1
"ENSMUSG00000025912.16" 488.480893676752 0.33425786334211 0.112745210050478 0 1 1
"ENSMUSG00000045210.8" 561.93076565284 -0.633892205570416 0.0980232280009229 -0.499164390391219 0.617663578654174 1
"ENSMUSG00000097893.8" 53.939182750322 3.4522841843468 0.498515865632268 5.7517160060473 8.83421121361401e-09 1.19266070204808e-07
"ENSMUSG00000025915.14" 509.498214168701 -0.516960378221315 0.110555016740933 0 1 1
"ENSMUSG00000046101.16" 18.1168237992144 -6.6944035742949 1.46513326525914 -4.16988762622434 3.04749868429287e-05 0.000259496348810118
"ENSMUSG00000098234.7" 531.929633004354 -0.0190308141129413 0.112628120084743 0 1 1
"ENSMUSG00000099032.2" 158.69478954758 0.384461049411872 0.194015796219803 0 1 1
"ENSMUSG00000025917.9" 1403.54293348622 -0.229285622281611 0.0700396645011502 0 1 1
"ENSMUSG00000056763.16" 749.560248630383 -0.278467859847595 0.0878063900730747 0 1 1
"ENSMUSG00000067851.11" 1253.72792262289 -0.0524223090059291 0.0776683631757895 0 1 1
"ENSMUSG00000048960.13" 726.121274731718 3.32403598569229 0.112142923159164 24.4248447232252 9.31523220197043e-132 6.27003843689772e-129
"ENSMUSG00000057715.13" 236.583724870048 0.36939642553088 0.151279379710453 0 1 1
"ENSMUSG00000016918.15" 938.4765210646 -0.206502313276498 0.0853089633862244 0 1 1
"ENSMUSG00000025938.16" 86.4500989374388 -0.1571140712853 0.257497222118736 0 1 1
"ENSMUSG00000042414.7" 450.994546080264 -2.02650296286533 0.124201857637465 -11.6064323800367 3.82233064367116e-31 2.21428867411032e-29
"ENSMUSG00000005886.14" 1079.12631546625 -0.063906012298373 0.0798456908992 0 1 1
"ENSMUSG00000025935.10" 1685.89928584294 0.0821148355854288 0.0630332727580701 0 1 1
"ENSMUSG00000025937.6" 1805.37399326597 -0.0920914298117418 0.0641289637484778 0 1 1
"ENSMUSG00000102982.1" 14.5741764713831 -0.413063283875796 0.613641611445728 0 1 1
"ENSMUSG00000025932.14" 450.540780581071 0.919279662548258 0.110767946121336 3.0181760476166 0.00254301127472052 0.0150210883276952
"ENSMUSG00000025930.6" 61.7921941925585 -0.578400007960201 0.284247748736428 0 1 1
"ENSMUSG00000082193.1" 23.6826037098249 0.112485159302304 0.484042626672013 0 1 1
"ENSMUSG00000032769.5" 52.5536526156653 2.13428299215031 0.343482563697954 4.5106234061755 6.4637384730508e-06 6.08693826226336e-05
