NAME	NES_RA_DMSO	FDR_RA_DMSO	NES_RA_dTAG	FDR_RA_dTAG
REACTOME_COLLAGEN_DEGRADATION	2.0199084	7.399598e-05	1.7909077	0.0069965576
REACTOME_COLLAGEN_FORMATION	1.993057	7.514499e-05	1.9024668	0.0013286124
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	1.9305463	0.00042168345	1.8390412	0.0026920156
REACTOME_ER_PHAGOSOME_PATHWAY	1.9244269	0.00044568308	1.8544035	0.0026416471
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	1.9196264	0.00040115466	1.8296018	0.00283882
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	1.9011679	0.0005943126	1.929199	0.00078201795
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	1.8947631	0.0006886523	1.8953562	0.0013972697
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	1.8804778	0.0009092886	1.769252	0.011042151
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.8627074	0.0012290266	1.9612434	0.0005290072
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	1.8255712	0.0033904037	1.6985343	0.03138856
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1.8121878	0.004343856	1.8460083	0.0023842074
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	1.801918	0.005075918	1.8532354	0.0024156603
REACTOME_LYSINE_CATABOLISM	1.7807527	0.007953859	1.4552648	0.24788848
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	1.7601699	0.0122475	1.587167	0.086478494
REACTOME_DAP12_INTERACTIONS	1.74825	0.014909264	1.689376	0.032955892
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	1.7437372	0.015289606	1.8531262	0.002174094
REACTOME_ECM_PROTEOGLYCANS	1.73754	0.01646775	1.8653711	0.0026097815
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	1.7295015	0.018515399	1.741863	0.01742067
REACTOME_ELASTIC_FIBRE_FORMATION	1.7267774	0.018565835	1.933619	0.0009459806
REACTOME_GABA_RECEPTOR_ACTIVATION	1.7220293	0.019457797	1.608242	0.07089774
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1.7175151	0.020299502	1.6544714	0.045794483
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	1.7171478	0.019484904	1.5944926	0.079104185
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	1.70985	0.02147082	1.6084901	0.072089694
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	1.6930443	0.028633878	1.8639063	0.0023358457
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1.6845533	0.032238692	1.6641577	0.04347939
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	1.6688889	0.04145197	1.6521354	0.045171645
REACTOME_POTASSIUM_CHANNELS	1.6553353	0.050781522	1.7145785	0.02390901
REACTOME_NEURONAL_SYSTEM	1.6547667	0.049468134	1.6719683	0.04053777
REACTOME_ENDOGENOUS_STEROLS	1.6437309	0.0581344	1.542573	0.123131305
REACTOME_VISUAL_PHOTOTRANSDUCTION	1.6433764	0.05650762	1.5837988	0.0875754
REACTOME_NCAM1_INTERACTIONS	1.6404645	0.057469614	1.6545472	0.047044538
REACTOME_SENSORY_PERCEPTION	1.6402336	0.05591033	1.6203434	0.06565615
REACTOME_O_LINKED_GLYCOSYLATION	1.6380136	0.05623304	1.6163996	0.06535295
REACTOME_SURFACTANT_METABOLISM	1.6283281	0.064221874	1.680765	0.03715086
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	1.6265458	0.06432705	1.7487943	0.015984302
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	1.6234983	0.06581829	1.6902468	0.0350271
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	1.619722	0.06815817	1.3070338	0.45194054
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	1.6144444	0.0723119	1.6592534	0.045941465
REACTOME_CA_DEPENDENT_EVENTS	1.5986711	0.090269715	1.6184156	0.06614821
REACTOME_GABA_B_RECEPTOR_ACTIVATION	1.5960586	0.09163428	1.5541098	0.11738497
REACTOME_PLATELET_HOMEOSTASIS	1.5862006	0.10382493	1.6897026	0.034019273
REACTOME_RA_BIOSYNTHESIS_PATHWAY	1.5853997	0.10251542	1.4247887	0.28223005
REACTOME_GPCR_LIGAND_BINDING	1.5846139	0.10136669	1.7224733	0.021410774
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	1.5830535	0.10139951	1.5561637	0.11783863
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	1.5828248	0.09949392	1.6670634	0.04268335
REACTOME_DIGESTION	1.5809983	0.09998221	1.1931158	0.6040421
REACTOME_SIGNALING_BY_GPCR	1.5751345	0.10660241	1.7381692	0.017046107
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	1.5739794	0.10619535	1.5498568	0.118538834
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	1.5691875	0.11136605	1.8384213	0.0025142438
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	1.5676221	0.1115869	1.516664	0.1582223
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	1.5672576	0.109971285	1.6403574	0.05384783
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	1.5655438	0.11044618	1.5748439	0.09766819
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	1.5629228	0.11233691	1.5526295	0.11782244
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	1.5552169	0.122683	1.4205694	0.28615323
REACTOME_CARDIAC_CONDUCTION	1.5542941	0.12198571	1.6062275	0.07167252
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	1.5498308	0.12734027	1.3951415	0.31721732
REACTOME_MUSCLE_CONTRACTION	1.5434042	0.13639441	1.5163352	0.15676941
REACTOME_HS_GAG_BIOSYNTHESIS	1.5400852	0.14010738	1.2571888	0.51130533
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	1.536221	0.14499778	1.6806974	0.035921935
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	1.5321337	0.15027933	1.4703238	0.22575334
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	1.5320477	0.14800178	1.3951906	0.31948355
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	1.529749	0.15009041	1.6357923	0.056564003
REACTOME_SIGNALING_BY_RETINOIC_ACID	1.5297066	0.14779165	1.5428003	0.124553874
REACTOME_NETRIN_1_SIGNALING	1.5199387	0.16473435	1.6528312	0.04583811
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	1.5155026	0.17135367	1.6276329	0.06278022
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	1.5149263	0.16997725	1.5513719	0.11796218
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	1.5111222	0.17546399	1.4666083	0.22728172
REACTOME_DIGESTION_OF_DIETARY_LIPID	1.5066134	0.1827615	1.2463328	0.5215733
REACTOME_PROSTANOID_LIGAND_RECEPTORS	1.5033336	0.18742555	1.4169728	0.28849447
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	1.4983802	0.19595018	1.3534266	0.3758499
REACTOME_ADRENOCEPTORS	1.4956071	0.19965519	1.4811677	0.20537661
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	1.4905233	0.20872477	1.5082545	0.1683072
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	1.4895918	0.20810592	1.5411109	0.12364438
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1.4866798	0.21220803	1.7407799	0.016911855
REACTOME_VITAMINS	1.4842999	0.2151021	1.4951165	0.18437816
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	1.4830561	0.21528754	1.3765862	0.33221993
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	1.4780368	0.22495908	1.3798372	0.3299685
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	1.4740995	0.23210317	1.4596142	0.23934808
REACTOME_SIGNALING_BY_PDGF	1.4725851	0.23295006	1.4309639	0.2781693
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	1.4702297	0.23609896	1.4292994	0.28011954
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1.4686615	0.23718101	1.584314	0.08849589
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	1.4670635	0.23844433	1.5645654	0.10870504
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	1.4659424	0.23838247	1.3209679	0.43440244
REACTOME_KERATINIZATION	1.4650038	0.23788176	1.5682783	0.10512982
REACTOME_G_PROTEIN_MEDIATED_EVENTS	1.4637029	0.23845285	1.6242266	0.06319824
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	1.4611177	0.24224976	1.437419	0.27389368
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	1.4578216	0.24804525	1.2683743	0.49591693
REACTOME_PHASE_2_PLATEAU_PHASE	1.4574567	0.24620137	1.5553381	0.117238596
