gene_id	ZFP143_DMSO_24H_rep1	ZFP143_DMSO_24H_rep2	ZFP143_DMSO_24H_RA_24H_rep1	ZFP143_DMSO_24H_RA_24H_rep2	ZFP143_dTAG_24H_rep1	ZFP143_dTAG_24H_rep2	ZFP143_dTAG_24H_RA_24H_rep1	ZFP143_dTAG_24H_RA_24H_rep2
ENSMUSG00000102693.1	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	0	0	4	2	0	1	15	16
ENSMUSG00000102851.1	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	0	0	0	0	0	0	0	0
ENSMUSG00000104017.1	0	0	0	0	0	0	0	0
ENSMUSG00000103025.1	0	0	0	0	0	0	0	0
ENSMUSG00000089699.1	0	0	0	0	0	0	0	0
ENSMUSG00000103201.1	0	0	0	0	0	0	0	0
ENSMUSG00000103147.1	0	0	0	0	0	0	0	0
ENSMUSG00000103161.1	0	0	0	0	0	0	0	0
ENSMUSG00000102331.1	0	0	0	0	0	0	1	1
ENSMUSG00000102348.1	0	0	0	0	0	0	0	0
ENSMUSG00000102592.1	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	2	1	0	1	1	1	1	1
ENSMUSG00000025900.13	0	0	0	1	0	0	0	0
ENSMUSG00000102948.1	0	0	0	0	0	0	0	0
ENSMUSG00000104123.1	0	0	0	0	0	0	0	0
ENSMUSG00000025902.13	9	7	41	28	21	28	82	80
ENSMUSG00000104238.1	0	0	0	0	0	0	0	0
ENSMUSG00000102269.1	16	15	12	6	16	19	4	5
ENSMUSG00000096126.1	2	0	0	0	0	0	0	0
ENSMUSG00000103003.1	0	0	0	0	0	0	0	0
ENSMUSG00000104328.1	0	0	0	2	0	0	0	0
ENSMUSG00000102735.1	0	0	1	0	0	1	1	0
ENSMUSG00000098104.1	8	14	10	6	5	5	7	11
ENSMUSG00000102175.1	1	1	1	1	1	1	1	1
ENSMUSG00000088000.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.1	0	0	0	0	0	0	0	1
ENSMUSG00000103922.1	165	193	150	100	163	257	149	148
ENSMUSG00000033845.13	3405	3009	2586	1628	3831	4777	2495	2319
ENSMUSG00000102275.1	20	19	12	9	22	30	20	17
ENSMUSG00000025903.14	1387	1049	653	416	1399	1643	549	650
ENSMUSG00000104217.1	0	0	0	0	0	0	0	0
ENSMUSG00000033813.15	1454	1132	1375	803	1430	1811	1678	1695
ENSMUSG00000062588.4	4	1	6	0	2	3	4	2
ENSMUSG00000103280.1	0	0	1	2	0	1	2	9
ENSMUSG00000002459.17	6	19	56	50	24	34	200	211
ENSMUSG00000091305.1	0	0	0	0	0	0	2	1
ENSMUSG00000102653.1	0	0	2	0	0	0	0	0
ENSMUSG00000085623.1	1	0	0	0	1	1	0	0
ENSMUSG00000091665.1	0	0	1	0	0	0	0	1
ENSMUSG00000033793.12	1721	1774	1767	1188	1758	2177	2253	2276
ENSMUSG00000104352.1	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	0	1	0	1	1	1	0	0
ENSMUSG00000102907.1	0	0	0	0	0	0	0	0
ENSMUSG00000025905.14	3	4	33	10	2	11	65	74
ENSMUSG00000103936.1	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	0	0	3	0	1	0	14	10
ENSMUSG00000103090.1	0	0	0	0	0	0	0	0
ENSMUSG00000025907.14	1004	861	1645	1059	752	948	1154	1314
ENSMUSG00000090031.2	22	3	52	35	18	20	34	49
ENSMUSG00000087247.3	0	0	6	2	0	0	1	4
ENSMUSG00000103355.1	0	0	2	0	0	0	0	0
ENSMUSG00000102706.1	0	0	0	0	0	0	0	0
ENSMUSG00000103845.1	0	1	5	3	1	3	4	0
ENSMUSG00000033740.17	1	0	1	0	2	2	1	0
ENSMUSG00000103329.2	0	0	0	0	0	0	0	0
ENSMUSG00000104385.1	0	1	1	0	0	0	0	0
ENSMUSG00000102135.1	13	11	17	7	11	15	8	8
ENSMUSG00000103282.1	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	0	0	0	0	0	0	0	0
ENSMUSG00000103629.1	0	0	0	0	0	0	0	0
ENSMUSG00000051285.17	1486	1371	1846	958	1508	2142	1610	1533
ENSMUSG00000098201.1	1	0	2	0	0	0	0	1
ENSMUSG00000103509.1	77	25	122	42	143	204	66	136
ENSMUSG00000048538.7	6	8	3	5	4	5	1	1
ENSMUSG00000103709.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	0	0	0	0	0	0	0	0
ENSMUSG00000097797.6	28	23	33	16	129	151	68	37
ENSMUSG00000103498.1	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	9	10	1	2	15	9	3	1
ENSMUSG00000102320.1	0	0	0	0	0	0	0	0
ENSMUSG00000104226.1	0	0	0	0	1	0	0	0
ENSMUSG00000103903.1	1	0	2	0	1	1	5	0
ENSMUSG00000103557.1	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	1	0	0	2	2	3	3	3
ENSMUSG00000102647.1	0	0	0	0	0	0	0	0
ENSMUSG00000086235.1	0	0	1	0	0	1	1	2
ENSMUSG00000102253.1	0	0	0	0	0	0	0	0
ENSMUSG00000093970.1	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	0	0	0	0	0	0	0	0
ENSMUSG00000084353.1	6	10	7	3	6	13	4	4
ENSMUSG00000103933.1	29	23	41	21	14	37	18	12
ENSMUSG00000076135.1	0	0	1	0	0	1	1	0
ENSMUSG00000086195.1	0	0	0	0	0	0	0	0
ENSMUSG00000104504.1	0	0	0	0	0	0	0	0
ENSMUSG00000066693.2	0	0	0	0	0	0	0	0
ENSMUSG00000102316.1	0	0	0	0	0	0	0	0
ENSMUSG00000103819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	0	0	0	0	0	0	0	0
ENSMUSG00000101571.2	0	0	0	0	1	1	1	0
ENSMUSG00000104428.1	0	0	0	0	0	0	0	0
ENSMUSG00000102272.1	0	0	0	0	0	0	0	0
ENSMUSG00000065625.1	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	0	0	0	0	0	0	0	0
ENSMUSG00000061024.8	2486	2310	992	610	1873	2381	886	962
ENSMUSG00000025911.14	113	132	57	34	103	201	74	93
ENSMUSG00000079671.8	0	2	1	0	1	1	0	1
ENSMUSG00000081441.3	3	7	11	10	10	10	3	6
ENSMUSG00000067879.3	0	0	3	1	0	0	1	1
ENSMUSG00000099827.1	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	421	291	600	365	418	554	815	914
ENSMUSG00000045210.8	1302	1082	943	540	599	752	679	792
