"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000025902.13" 35.5299537474968 1.84070122022812 0.401967003615151 3.12398457637887 0.00178419809000595 0.00555901903939765
"ENSMUSG00000102269.1" 11.3364725670557 -1.85384390321824 0.779059203019175 -1.62873552815967 0.103369018202439 0.235344032142456
"ENSMUSG00000103922.1" 161.055742548805 -0.372239915217245 0.207480160941981 0 1 1
"ENSMUSG00000033845.13" 2913.55472901695 -0.727566843166283 0.0826421916833476 -1.72556341428517 0.084425986055008 0.195891468806917
"ENSMUSG00000102275.1" 18.019009423061 -0.372368551077217 0.544182631945515 0 1 1
"ENSMUSG00000025903.14" 938.814920141136 -1.24068171981056 0.118497194296471 -5.53362653843807 3.13676495831911e-08 1.71100482984382e-07
"ENSMUSG00000033813.15" 1376.22342518076 0.16886250372409 0.099659945368511 0 1 1
"ENSMUSG00000002459.17" 72.263561400147 2.94235992122904 0.337182019499884 6.99146835885384 2.72023982174774e-12 2.11417195958634e-11
"ENSMUSG00000033793.12" 1818.98653878159 0.312206704132531 0.0895034404459192 0 1 1
"ENSMUSG00000025905.14" 23.7539562532161 3.57424239567563 0.625388968499636 4.77987307983066 1.75405891478029e-06 7.91015460368962e-06
"ENSMUSG00000025907.14" 1076.99047520033 0.647486189713912 0.098425428546745 0.635239184791167 0.525272430499411 0.987245775504185
"ENSMUSG00000090031.2" 28.5049688948415 1.22617231681894 0.530684958836056 1.20826830574611 0.226944075462407 0.479906081837662
"ENSMUSG00000102135.1" 10.9017750609926 -0.583751816103704 0.73520038621941 0 1 1
"ENSMUSG00000051285.17" 1504.87377318738 -0.0936938187988022 0.107176743277021 0 1 1
"ENSMUSG00000103509.1" 94.4653664740606 -0.66918262571079 0.655341953655415 -0.128513251013253 0.897742812385422 1
"ENSMUSG00000097797.6" 56.0869595247226 -1.3035236901806 0.344626631473686 -2.08504254702183 0.037065438624264 0.0923663413465234
"ENSMUSG00000103933.1" 23.6863549533744 -0.604048599675376 0.544619608643639 -0.0350448251427331 0.972043997512744 1
