"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000025902.13" 35.5299537474968 1.0796811483586 0.386786517004692 1.27904832740446 0.200880038156822 0.914315396207869
"ENSMUSG00000102269.1" 11.3364725670557 -1.12665290974347 0.817028030312791 -0.663001009665399 0.507329907431831 1
"ENSMUSG00000103922.1" 161.055742548805 0.0988381391231762 0.215733803844667 0 1 1
"ENSMUSG00000033845.13" 2913.55472901695 0.0500512549181024 0.0842623023680588 0 1 1
"ENSMUSG00000102275.1" 18.019009423061 0.66066842381315 0.596801191194493 0.126852835096508 0.899056877111754 1
"ENSMUSG00000025903.14" 938.814920141136 0.0184462446120903 0.123974091279631 0 1 1
"ENSMUSG00000033813.15" 1376.22342518076 0.496972441773436 0.101403605205833 0 1 1
"ENSMUSG00000002459.17" 72.263561400147 1.77513724629701 0.311728478847138 3.81798528635389 0.000134545947801206 0.00170375660232906
"ENSMUSG00000033793.12" 1818.98653878159 0.46429955045949 0.0905822715874739 0 1 1
"ENSMUSG00000025905.14" 23.7539562532161 1.61481412009515 0.526708299826124 1.95525990327847 0.0505524012926985 0.303765600627528
"ENSMUSG00000025907.14" 1076.99047520033 -0.279585095433721 0.096173361695596 0 1 1
"ENSMUSG00000090031.2" 28.5049688948415 -0.224336718357115 0.501360790342556 0 1 1
"ENSMUSG00000102135.1" 10.9017750609926 -0.689402977833761 0.742556399423354 -0.140649891636123 0.888146532138733 1
"ENSMUSG00000051285.17" 1504.87377318738 0.0477474450728425 0.108135559810125 0 1 1
"ENSMUSG00000103509.1" 94.4653664740606 0.22859411579285 0.661367490958144 0 1 1
"ENSMUSG00000097797.6" 56.0869595247226 0.98137127869201 0.3942522696763 1.00546986906714 0.314670651099704 1
"ENSMUSG00000103933.1" 23.6863549533744 -1.16488714862385 0.537933570010978 -1.07805996917215 0.281006994615976 1
"ENSMUSG00000061024.8" 1533.19106344603 0.0637467129482383 0.0928145160546294 0 1 1
"ENSMUSG00000025911.14" 96.6425322980658 0.733191989389509 0.30223185115948 0.490449593911713 0.623815790111293 1
"ENSMUSG00000081441.3" 7.46953550185695 -1.41350993139369 0.921642606372682 -0.898989939205887 0.368658019553353 1
"ENSMUSG00000025912.16" 528.334892420121 0.7002671154448 0.13427428302119 0.858724486396609 0.390492537736172 1
"ENSMUSG00000045210.8" 830.458491702328 -0.145967336361935 0.114224357081128 0 1 1
"ENSMUSG00000097893.8" 52.0045630602246 3.30295503290357 0.461056615281531 5.89513834547793 3.74367591683661e-09 9.5410592214899e-08
"ENSMUSG00000025915.14" 745.046803303111 0.663186540618014 0.112910461564951 0.692797096147375 0.488436894817745 1
"ENSMUSG00000046101.16" 28.9439661481181 -2.89573612010619 0.578541354820387 -3.99413732507062 6.49302249023578e-05 0.000870657737736347
"ENSMUSG00000098234.7" 669.842437358039 -0.69377965114127 0.125749415093497 -0.865349157602094 0.386847177547981 1
"ENSMUSG00000099032.2" 365.853830442743 0.284420602607695 0.143580429628255 0 1 1
"ENSMUSG00000025917.9" 1891.65964855849 -0.035727078110724 0.0969949975061778 0 1 1
"ENSMUSG00000056763.16" 998.131361849792 0.378794319015868 0.102124723823001 0 1 1
"ENSMUSG00000067851.11" 2379.73048477683 -0.129276677357196 0.0813306546275074 0 1 1
"ENSMUSG00000048960.13" 996.717831961263 1.01979406597393 0.116077429409597 3.74604750867117 0.00017964258443583 0.00220902958851913
"ENSMUSG00000057715.13" 174.304152147368 0.868920669551728 0.207618481574936 1.36769215667384 0.171408456055984 0.806763132232041
"ENSMUSG00000016918.15" 1419.63925113945 -0.625871404834143 0.116344656393457 -0.351618246863358 0.725124579012536 1
"ENSMUSG00000025938.16" 129.318576782246 -1.08377835004268 0.229377741528296 -2.17464801073555 0.0296565036003076 0.196228413257072
"ENSMUSG00000042414.7" 467.348753383979 0.780540953789267 0.397736894805295 0.491728214361035 0.622911489860111 1
