"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000025902.13" 35.5299537474968 1.30404806110719 0.528238214290129 1.36129030602676 0.173421965257126 1
"ENSMUSG00000102269.1" 11.3364725670557 -0.129830800445143 0.665313500750452 0 1 1
"ENSMUSG00000103922.1" 161.055742548805 -0.100273608623475 0.204545828535752 0 1 1
"ENSMUSG00000033845.13" 2913.55472901695 0.118678893530768 0.0819941337977242 0 1 1
"ENSMUSG00000102275.1" 18.019009423061 0.100159626640424 0.541625297623716 0 1 1
"ENSMUSG00000025903.14" 938.814920141136 0.0242776780597405 0.114727114028192 0 1 1
"ENSMUSG00000033813.15" 1376.22342518076 0.0218255471476977 0.100616935715538 0 1 1
"ENSMUSG00000002459.17" 72.263561400147 0.887617317081619 0.437347783887952 0.692023207868826 0.488922754685939 1
"ENSMUSG00000033793.12" 1818.98653878159 -0.138861671805934 0.0902575400838743 0 1 1
"ENSMUSG00000025905.14" 23.7539562532161 0.535264398975504 0.820329660833372 0 1 1
"ENSMUSG00000025907.14" 1076.99047520033 -0.440445098037282 0.099811234325479 0 1 1
"ENSMUSG00000090031.2" 28.5049688948415 0.329428653652959 0.584246033581773 0 1 1
"ENSMUSG00000102135.1" 10.9017750609926 -0.196723315622932 0.705249631217634 0 1 1
"ENSMUSG00000051285.17" 1504.87377318738 0.0348089121628349 0.107492636402796 0 1 1
"ENSMUSG00000103509.1" 94.4653664740606 1.47564233869241 0.663282116977002 1.342837105319 0.179324725619248 1
"ENSMUSG00000097797.6" 56.0869595247226 2.15695872330901 0.374095762244778 4.20212250776385 2.64423959453776e-05 0.000844379908469191
"ENSMUSG00000103933.1" 23.6863549533744 -0.379617013984992 0.517290204926599 0 1 1
"ENSMUSG00000061024.8" 1533.19106344603 -0.482234601881157 0.0840872843475826 0 1 1
"ENSMUSG00000025911.14" 96.6425322980658 -0.0362528883689761 0.266183347421651 0 1 1
"ENSMUSG00000081441.3" 7.46953550185695 0.691096679090124 0.909641160935843 0.116676974313449 0.907116037463829 1
"ENSMUSG00000025912.16" 528.334892420121 0.143524702640912 0.140325182206965 0 1 1
"ENSMUSG00000045210.8" 830.458491702328 -1.12475154198735 0.112227411164058 -4.80977896279822 1.51097287972864e-06 5.69097897218075e-05
"ENSMUSG00000097893.8" 52.0045630602246 3.89645082489817 0.496593795652841 6.66840454545672 2.58599155224048e-11 1.41163687503722e-09
"ENSMUSG00000025915.14" 745.046803303111 -0.215100546161788 0.106544689256916 0 1 1
"ENSMUSG00000046101.16" 28.9439661481181 -2.9651885363855 0.519588014148107 -4.58098718764107 4.62786198347848e-06 0.000163268545696606
"ENSMUSG00000098234.7" 669.842437358039 0.101710283247662 0.122208639046535 0 1 1
"ENSMUSG00000099032.2" 365.853830442743 0.898097545210997 0.184774314798552 1.69468924742723 0.0901343865172236 0.950027017185453
"ENSMUSG00000025917.9" 1891.65964855849 0.0194557753011783 0.0937775216656763 0 1 1
"ENSMUSG00000056763.16" 998.131361849792 0.00649077339162194 0.0998099375727052 0 1 1
"ENSMUSG00000067851.11" 2379.73048477683 0.337057404634969 0.0831776890327201 0 1 1
"ENSMUSG00000048960.13" 996.717831961263 0.77869283738297 0.119635098142338 1.61934365140337 0.105373343535423 1
"ENSMUSG00000057715.13" 174.304152147368 0.615084079472423 0.204993013408829 0.146939538330477 0.883179743546238 1
"ENSMUSG00000016918.15" 1419.63925113945 0.466434087369944 0.112093685689766 0 1 1
"ENSMUSG00000025938.16" 129.318576782246 0.974299708973736 0.23930833452356 1.62692707309051 0.10375258727185 1
"ENSMUSG00000042414.7" 467.348753383979 -0.511522524475817 0.357003606992529 0 1 1
"ENSMUSG00000005886.14" 1673.83173460753 0.139745640468404 0.0928263238808977 0 1 1
"ENSMUSG00000025935.10" 2293.01093661454 -0.0980879667413125 0.0810450220358656 0 1 1
"ENSMUSG00000025937.6" 2224.26816036189 0.4258969014314 0.0786005135651429 0 1 1
"ENSMUSG00000102982.1" 25.5570190463224 0.376280699963333 0.547962277152165 0 1 1
"ENSMUSG00000097711.1" 11.0887161406644 -0.80329668938006 0.757878517019859 -0.288085997631178 0.773280910750441 1
"ENSMUSG00000025932.14" 332.250458904871 -0.119756222974612 0.139451101968229 0 1 1
"ENSMUSG00000025930.6" 51.6660477461024 0.430134613593556 0.321233139655384 0 1 1
"ENSMUSG00000082193.1" 17.5110262129046 0.307394304125336 0.646402495748991 0 1 1
"ENSMUSG00000032769.5" 59.1595265284902 0.819565404808743 0.30804154217177 0.761595018754866 0.446301748731746 1
"ENSMUSG00000025925.14" 2948.59979048898 -0.219151996904669 0.091340147115126 0 1 1
"ENSMUSG00000104379.1" 14.6898841405617 0.55420845542507 0.626088309200087 0 1 1
"ENSMUSG00000032719.4" 8.17526805262706 3.13810849640971 1.75483484883355 1.4549209558869 0.145691145585154 1
"ENSMUSG00000043716.13" 20815.6199021601 -0.265340534676404 0.0734058049339395 0 1 1
"ENSMUSG00000025921.7" 118.264138864941 -0.0383394967683784 0.243932544991355 0 1 1
"ENSMUSG00000025920.19" 385.164104229567 0.694163377885379 0.166032607974398 0.657707413600713 0.510726157652757 1
"ENSMUSG00000025939.19" 528.212367453566 0.0667530374341063 0.129747428996873 0 1 1
"ENSMUSG00000079658.9" 1087.69208194587 -0.418549327058588 0.117015951807646 0 1 1
"ENSMUSG00000025940.6" 491.081894270401 0.478411672930075 0.132110756004385 0 1 1
"ENSMUSG00000091020.3" 56.269350552107 0.361685923676081 0.339616542710129 0 1 1
"ENSMUSG00000042686.5" 191.921064009 1.32149764389991 0.263900673537502 2.79095590513559 0.00525526312024416 0.0998994605845943
"ENSMUSG00000100398.1" 13.2646218850818 0.0675716149218801 0.651078104786377 0 1 1
"ENSMUSG00000025776.13" 41.9876748744621 0.801904440825439 0.371508272060084 0.583949151121988 0.559254523255003 1
"ENSMUSG00000043760.16" 58.6413068219876 0.927325968373081 0.448758418827895 0.762912634700288 0.445515500586104 1
"ENSMUSG00000041872.9" 26.1457622493403 0.862983860360842 0.63843832055264 0.435470977680392 0.663220600568426 1
"ENSMUSG00000041859.10" 11109.1313850956 -0.438554609791249 0.0817051977295333 0 1 1
"ENSMUSG00000025931.15" 312.508846094947 0.28181233193723 0.153952437850738 0 1 1
"ENSMUSG00000041809.5" 92.0391126604683 0.602385482284859 0.302005166430824 0.0576910049904505 0.953994758741747 1
"ENSMUSG00000041779.5" 659.707294584534 0.228965681069427 0.119119358585495 0 1 1
"ENSMUSG00000025933.15" 79.94672580653 0.271529718767054 0.288176678893887 0 1 1
"ENSMUSG00000025934.15" 120.371192826451 0.228305181296919 0.219798397713443 0 1 1
"ENSMUSG00000082935.3" 49.2961697961742 -0.0902002804902292 0.379338159070368 0 1 1
"ENSMUSG00000041670.17" 34.0839800619512 1.02159574957026 0.435601868826088 1.00236771257615 0.316166030109727 1
"ENSMUSG00000026158.11" 425.445442659526 0.329891774114135 0.142244023059976 0 1 1
