MitoPathway	MitoPathway Hierarchy	Genes	Genes ZFP143 targets	Genes ZFP143 targets down	N_total	N_targets	N_targets_down
Mitochondrial central dogma	Mitochondrial central dogma	2810006K23Rik, Aars2, Alkbh1, Angel2, Apex1, Atad3a, Aurkaip1, Cars2, Cdk5rap1, Chchd1, Coa3, Cox14, Dap3, Dars2, Ddx28, Dhx30, Dna2, Dus2, Ears2, Elac2, Endog, Eral1, Exd2, Exog, Fars2, Fastk, Fastkd1, Fastkd2, Fastkd3, Fastkd5, Gadd45gip1, Gars, Gatb, Gatc, Gfm1, Gfm2, Grsf1, Gtpbp10, Gtpbp3, Guf1, Hars2, Hemk1, Hsd17b10, Iars2, Kars, Lactb2, Lars2, Lig3, Lrpprc, Malsu1, Mars2, Metap1d, Mettl15, Mettl17, Mettl4, Mettl5, Mettl8, Mgme1, Mief1, Mpv17l2, Mrm1, Mrm2, Mrm3, Mrpl1, Mrpl10, Mrpl11, Mrpl12, Mrpl13, Mrpl14, Mrpl15, Mrpl16, Mrpl17, Mrpl18, Mrpl19, Mrpl2, Mrpl20, Mrpl21, Mrpl22, Mrpl23, Mrpl24, Mrpl27, Mrpl28, Mrpl3, Mrpl30, Mrpl32, Mrpl33, Mrpl34, Mrpl35, Mrpl36, Mrpl37, Mrpl38, Mrpl39, Mrpl4, Mrpl40, Mrpl41, Mrpl42, Mrpl43, Mrpl44, Mrpl45, Mrpl46, Mrpl47, Mrpl48, Mrpl49, Mrpl50, Mrpl51, Mrpl52, Mrpl53, Mrpl54, Mrpl55, Mrpl57, Mrpl58, Mrpl9, Mrps10, Mrps11, Mrps12, Mrps14, Mrps15, Mrps16, Mrps17, Mrps18a, Mrps18b, Mrps18c, Mrps2, Mrps21, Mrps22, Mrps23, Mrps24, Mrps25, Mrps26, Mrps27, Mrps28, Mrps30, Mrps31, Mrps33, Mrps34, Mrps35, Mrps36, Mrps5, Mrps6, Mrps7, Mrps9, Mrrf, Mterf1a, Mterf1b, Mterf2, Mterf3, Mterf4, Mtfmt, Mtg1, Mtg2, Mtif2, Mtif3, Mto1, Mtpap, Mtres1, Mtrf1, Mtrf1l, Mutyh, Myg1, Nars2, Ngrn, Noa1, Nsun2, Nsun3, Nsun4, Ogg1, Osgepl1, Oxa1l, Pars2, Pde12, Pdf, Pif1, Pnpt1, Polb, Poldip2, Polg, Polg2, Polq, Polrmt, Ppa2, Primpol, Prorp, Ptcd1, Ptcd2, Ptcd3, Pus1, Pusl1, Qrsl1, Qtrt1, Rars2, Rbfa, Rcc1l, Recql4, Rexo2, Rmnd1, Rnaseh1, Rpusd3, Rpusd4, Sars2, Slirp, Ssbp1, Supv3l1, Taco1, Tars2, Tbrg4, Tefm, Tfam, Tfb1m, Tfb2m, Thg1l, Timm21, Top1mt, Top3a, Trit1, Trmt1, Trmt10c, Trmt2b, Trmt5, Trmu, Trnt1, Trub2, Tsfm, Tufm, Twnk, Ung, Vars2, Wars2, Yars2, Ybey, Yrdc	Angel2, Chchd1, Coa3, Cox14, Dap3, Dars2, Dhx30, Ears2, Elac2, Eral1, Exog, Fastk, Fastkd1, Gatb, Lrpprc, Mgme1, Mpv17l2, Mrpl10, Mrpl11, Mrpl17, Mrpl18, Mrpl19, Mrpl24, Mrpl32, Mrpl34, Mrpl36, Mrpl37, Mrpl42, Mrpl45, Mrpl46, Mrpl48, Mrpl50, Mrpl51, Mrpl54, Mrps11, Mrps2, Mrps22, Mrps25, Mrps26, Mtfmt, Mtg1, Mtif2, Mtrf1, Mutyh, Noa1, Pdf, Poldip2, Polrmt, Primpol, Prorp, Ptcd1, Ptcd3, Rexo2, Tfam, Tfb1m, Timm21, Top3a, Tufm, Yars2	Coa3, Eral1, Fastk, Fastkd1, Gatb, Mpv17l2, Mrpl10, Mrpl24, Mrpl34, Mrpl37, Mrpl42, Mrpl46, Mrpl51, Mrpl54, Mrps22, Mrps25, Mrps26, Mtif2, Mtrf1, Pdf, Poldip2, Rexo2, Tfam, Tufm, Yars2	230	59	25
mtDNA maintenance	Mitochondrial central dogma > mtDNA maintenance	Apex1, Atad3a, Dna2, Endog, Exog, Lig3, Mettl4, Mgme1, Mterf1a, Mterf1b, Mterf2, Mutyh, Ogg1, Pif1, Polb, Poldip2, Polg, Polg2, Polq, Polrmt, Ppa2, Primpol, Recql4, Rnaseh1, Ssbp1, Tfam, Tfb2m, Top1mt, Top3a, Twnk, Ung	Exog, Mgme1, Mutyh, Poldip2, Polrmt, Primpol, Tfam, Top3a	Poldip2, Tfam	31	8	2
mtDNA replication	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication	Dna2, Exog, Lig3, Mgme1, Polg, Polg2, Polrmt, Rnaseh1, Ssbp1, Tfam, Tfb2m, Top1mt, Top3a, Twnk	Exog, Mgme1, Polrmt, Tfam, Top3a	Tfam	14	5	1
mtDNA nucleoid	Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid	Atad3a, Mterf1a, Mterf1b, Mterf2, Poldip2, Polg, Polg2, Polrmt, Ssbp1, Tfam, Twnk	Poldip2, Polrmt, Tfam	Poldip2, Tfam	11	3	2
mtDNA repair	Mitochondrial central dogma > mtDNA maintenance > mtDNA repair	Apex1, Exog, Lig3, Ogg1, Polb, Polg, Primpol, Recql4, Ung	Exog, Primpol		9	2	0
mtDNA modifications	Mitochondrial central dogma > mtDNA maintenance > mtDNA modifications	Mettl4			1	0	0
mtDNA stability and decay	Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay	Endog, Exog, Mgme1	Exog, Mgme1		3	2	0
mtRNA metabolism	Mitochondrial central dogma > mtRNA metabolism	Alkbh1, Angel2, Cdk5rap1, Ddx28, Dhx30, Dus2, Elac2, Endog, Eral1, Fastk, Fastkd1, Fastkd2, Fastkd3, Fastkd5, Grsf1, Gtpbp3, Hsd17b10, Lactb2, Lrpprc, Mettl15, Mettl17, Mettl5, Mettl8, Mrm1, Mrm2, Mrm3, Mrpl12, Mrpl47, Mrps7, Mrps9, Mterf1a, Mterf1b, Mto1, Mtpap, Mtres1, Myg1, Ngrn, Noa1, Nsun2, Nsun3, Nsun4, Osgepl1, Pde12, Pnpt1, Polrmt, Ppa2, Prorp, Ptcd1, Ptcd2, Pus1, Qtrt1, Rcc1l, Rexo2, Rmnd1, Rnaseh1, Rpusd3, Rpusd4, Slirp, Supv3l1, Tbrg4, Tefm, Tfam, Tfb1m, Tfb2m, Thg1l, Top1mt, Trit1, Trmt1, Trmt10c, Trmt2b, Trmt5, Trmu, Trnt1, Trub2, Ybey, Yrdc	Angel2, Dhx30, Elac2, Eral1, Fastk, Fastkd1, Lrpprc, Noa1, Polrmt, Prorp, Ptcd1, Rexo2, Tfam, Tfb1m	Eral1, Fastk, Fastkd1, Rexo2, Tfam	76	14	5
Transcription	Mitochondrial central dogma > mtRNA metabolism > Transcription	Mrpl12, Mterf1a, Mterf1b, Mtres1, Polrmt, Tefm, Tfam, Tfb2m, Top1mt	Polrmt, Tfam	Tfam	9	2	1
mtRNA granules	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules	Alkbh1, Ddx28, Dhx30, Eral1, Fastk, Fastkd1, Fastkd2, Fastkd5, Grsf1, Hsd17b10, Mrm1, Mrm2, Mrpl47, Mrps7, Mrps9, Mtpap, Noa1, Prorp, Ptcd1, Ptcd2, Pus1, Rmnd1, Rpusd3, Rpusd4, Supv3l1, Tfb1m, Trmt10c, Trub2	Dhx30, Eral1, Fastk, Fastkd1, Noa1, Prorp, Ptcd1, Tfb1m	Eral1, Fastk, Fastkd1	28	8	3
