NAME	NES_2H	FDR_2H	NES_6H	FDR_6H	NES_24H	FDR_24H
GOBP_RESPONSE_TO_PHENYLALANINE	1.9179672	1.0	2.0992534	0.06347066	2.0909424	0.0017629947
GOBP_REGULATION_OF_RIBONUCLEASE_ACTIVITY	1.878682	0.96029353	1.5232545	0.79972327	-0.77901393	1.0
GOBP_AMMONIUM_ION_METABOLIC_PROCESS	1.8563869	0.8802045	1.875517	0.36511934	1.4193779	0.2464534
GOBP_STEROL_BIOSYNTHETIC_PROCESS	1.8443317	0.77977604	0.8702012	0.99575627	-1.3089451	0.8477009
GOBP_REGULATION_OF_MONOATOMIC_ANION_TRANSMEMBRANE_TRANSPORT	1.80456	1.0	1.449025	0.8107235	1.6322458	0.11981533
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	1.8045269	0.8878034	1.6546489	0.6041469	-0.7495136	1.0
GOBP_MONOATOMIC_ANION_HOMEOSTASIS	1.7966884	0.84154475	1.8743826	0.32527882	1.3068118	0.34889784
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	1.77023	1.0	1.7152828	0.50264513	1.6831064	0.10131886
GOBP_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS	1.7633772	0.9954333	1.8290004	0.32195574	1.501978	0.1917476
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS	1.7603484	0.929652	1.2000797	0.87704235	0.8495702	0.88620484
GOBP_REGULATION_OF_NMDA_RECEPTOR_ACTIVITY	1.7541146	0.9104794	1.3586291	0.81683195	1.5549246	0.15268984
GOBP_BILE_ACID_SECRETION	1.7519444	0.85639	1.7423866	0.45267296	1.4121243	0.25112987
GOBP_DENSE_CORE_GRANULE_EXOCYTOSIS	1.7485827	0.82318956	1.827249	0.3086308	1.2097105	0.44574013
GOBP_REGULATION_OF_RELAXATION_OF_CARDIAC_MUSCLE	1.7279103	0.97588474	1.6729239	0.57891077	1.2336787	0.41976765
GOBP_STEROID_BIOSYNTHETIC_PROCESS	1.7258646	0.9325609	1.266411	0.8472364	1.2477251	0.40600643
GOBP_NEURONAL_DENSE_CORE_VESICLE_EXOCYTOSIS	1.7257727	0.8751888	1.946058	0.15122348	1.4531071	0.22452834
GOBP_SENSORY_PERCEPTION_OF_TASTE	1.6922632	1.0	1.4562787	0.8268485	1.6286663	0.12120635
GOBP_REGULATION_OF_ASTROCYTE_DIFFERENTIATION	1.6894749	1.0	1.2492495	0.8541912	1.345139	0.3138454
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	1.689049	1.0	1.7845577	0.40336654	1.6663802	0.10771906
GOBP_PROTEIN_ACTIVATION_CASCADE	1.684306	1.0	1.4012374	0.8032363	-0.7496571	1.0
GOBP_EXTRACELLULAR_TRANSPORT	1.6840333	1.0	1.4562756	0.8233555	1.7094358	0.09593102
GOBP_RESPONSE_TO_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR	1.6723025	1.0	1.2900921	0.8233457	-0.8701921	1.0
GOBP_CEREBROSPINAL_FLUID_CIRCULATION	1.6706253	1.0	1.1907114	0.8795551	1.7823133	0.07928464
