gene_id	Zfp143_0H_rep1	Zfp143_0H_rep2	Zfp143_2H_rep1	Zfp143_2H_rep2	Zfp143_6H_rep1	Zfp143_6H_rep2	Zfp143_24H_rep1	Zfp143_24H_rep2
ENSMUSG00000102693.1	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	2	17	11	13	3	10	8	16
ENSMUSG00000102851.1	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	0	0	0	0	0	0	0	0
ENSMUSG00000104017.1	0	0	0	0	0	0	0	0
ENSMUSG00000103025.1	0	0	0	0	0	0	0	0
ENSMUSG00000089699.1	0	0	1	0	0	0	1	0
ENSMUSG00000103201.1	0	0	0	0	0	0	0	0
ENSMUSG00000103147.1	0	0	0	0	0	0	0	0
ENSMUSG00000103161.1	0	0	0	0	0	0	1	0
ENSMUSG00000102331.1	0	3	1	1	0	0	1	6
ENSMUSG00000102348.1	0	0	0	0	0	0	0	0
ENSMUSG00000102592.1	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	1	7	4	5	4	4	3	7
ENSMUSG00000025900.13	1	4	3	4	5	5	2	4
ENSMUSG00000102948.1	0	1	0	0	0	0	0	0
ENSMUSG00000104123.1	0	0	0	0	0	0	0	0
ENSMUSG00000025902.13	1	1	2	0	1	0	4	8
ENSMUSG00000104238.1	0	0	0	0	0	0	0	0
ENSMUSG00000102269.1	0	0	0	0	1	1	0	0
ENSMUSG00000096126.1	2	0	0	1	0	0	0	0
ENSMUSG00000103003.1	0	0	0	0	0	0	0	0
ENSMUSG00000104328.1	0	0	0	0	0	0	0	0
ENSMUSG00000102735.1	0	0	0	0	0	0	0	0
ENSMUSG00000098104.1	2	0	0	3	0	2	0	1
ENSMUSG00000102175.1	0	0	0	1	0	1	0	1
ENSMUSG00000088000.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.1	0	0	0	2	1	0	0	0
ENSMUSG00000103922.1	7	5	2	13	9	5	8	14
ENSMUSG00000033845.13	669	940	710	1164	695	805	575	865
ENSMUSG00000102275.1	53	84	45	111	65	84	56	72
ENSMUSG00000025903.14	1371	1892	1836	2787	1958	1991	1073	1779
ENSMUSG00000104217.1	2384	3311	3099	4816	3464	3542	2182	3330
ENSMUSG00000033813.15	1155	1766	1483	2439	1784	1896	1323	1913
ENSMUSG00000062588.4	0	0	0	0	0	0	0	0
ENSMUSG00000103280.1	0	0	0	0	0	0	1	0
ENSMUSG00000002459.17	19	45	37	27	27	33	51	74
ENSMUSG00000091305.1	0	0	0	0	0	0	0	0
ENSMUSG00000102653.1	0	0	0	0	1	0	0	0
ENSMUSG00000085623.1	1	1	1	0	0	0	0	8
ENSMUSG00000091665.1	0	0	0	0	0	0	0	0
ENSMUSG00000033793.12	777	1476	1234	1656	1420	1316	1083	1948
ENSMUSG00000104352.1	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	0	2	0	3	2	0	0	3
ENSMUSG00000102907.1	0	0	0	0	0	0	0	0
ENSMUSG00000025905.14	0	0	0	0	0	1	5	2
ENSMUSG00000103936.1	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	0	1	0	0	0	0	0	0
ENSMUSG00000103090.1	0	0	0	0	0	0	0	0
ENSMUSG00000025907.14	427	775	447	646	579	590	460	715
ENSMUSG00000090031.2	49	73	32	44	38	34	38	68
ENSMUSG00000087247.3	0	1	1	0	2	0	0	0
ENSMUSG00000103355.1	0	0	0	0	0	0	0	0
ENSMUSG00000102706.1	0	0	0	0	0	0	0	1
ENSMUSG00000103845.1	2	1	5	2	2	1	1	0
ENSMUSG00000033740.17	7	12	10	30	18	28	18	20
ENSMUSG00000103329.2	0	0	0	0	0	0	0	0
ENSMUSG00000104385.1	0	0	0	0	0	0	0	0
ENSMUSG00000102135.1	0	0	0	2	1	2	0	1
ENSMUSG00000103282.1	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	0	0	0	1	0	0	0	1
ENSMUSG00000103629.1	0	0	1	2	0	2	1	0
ENSMUSG00000051285.17	1915	2778	2850	3555	3317	2924	2288	2984
ENSMUSG00000098201.1	0	0	0	0	0	0	1	0
ENSMUSG00000103509.1	69	77	120	133	169	129	105	90
ENSMUSG00000048538.7	2	5	4	1	1	2	0	3
ENSMUSG00000103709.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	0	0	0	0	0	0	0	0
ENSMUSG00000097797.6	221	373	1123	1793	1069	1149	842	1252
ENSMUSG00000103498.1	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	19	26	25	50	33	41	38	46
ENSMUSG00000102320.1	0	0	0	2	0	0	0	2
ENSMUSG00000104226.1	0	0	0	2	1	0	1	2
ENSMUSG00000103903.1	0	0	0	0	1	0	0	1
ENSMUSG00000103557.1	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	30	25	31	53	32	42	34	43
ENSMUSG00000102647.1	0	0	0	0	0	1	1	0
ENSMUSG00000086235.1	0	0	0	0	0	0	0	0
ENSMUSG00000102253.1	0	1	0	0	0	0	0	0
ENSMUSG00000093970.1	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	0	0	0	0	0	0	0	0
ENSMUSG00000084353.1	0	0	0	0	1	0	0	1
ENSMUSG00000103933.1	2	1	0	2	0	1	1	3
ENSMUSG00000076135.1	0	0	0	1	0	1	0	1
ENSMUSG00000086195.1	0	0	0	0	0	0	0	0
ENSMUSG00000104504.1	0	0	0	1	0	0	0	0
ENSMUSG00000066693.2	0	0	0	0	0	0	0	0
ENSMUSG00000102316.1	0	0	0	0	0	0	0	0
ENSMUSG00000103819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	0	0	0	0	0	0	0	0
ENSMUSG00000101571.2	0	0	0	0	1	0	0	0
ENSMUSG00000104428.1	0	0	0	0	0	0	0	0
ENSMUSG00000102272.1	0	0	0	0	0	0	0	0
ENSMUSG00000065625.1	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	0	0	2	0	0	0	0	0
ENSMUSG00000061024.8	303	344	260	413	263	283	212	285
ENSMUSG00000025911.14	215	206	318	286	361	252	218	249
ENSMUSG00000079671.8	21	17	18	21	29	23	18	25
ENSMUSG00000081441.3	2	5	1	1	2	4	2	0
ENSMUSG00000067879.3	0	0	0	0	1	1	2	1
ENSMUSG00000099827.1	0	0	1	0	0	0	1	0
ENSMUSG00000025912.16	353	637	476	691	539	527	499	665
ENSMUSG00000045210.8	472	664	453	555	527	493	360	401
ENSMUSG00000097893.8	22	50	237	358	281	249	196	212
ENSMUSG00000025915.14	700	410	893	693	958	553	807	453
