chrom	start_peak	end_peak	name_peak	start_gene	end_gene	gene_id	gene_name	strand_gene	gene_type	transcript_id	transcript_type	transcript_support	distance	rpkm	cpm	sbs1_motif	sbs2_motif	sbs1_and_sbs2_motif
chr1	6214371	6214934	ZFP143_peak_12	6214645	6276648	ENSMUSG00000025907.14	Rb1cc1	+	protein_coding	ENSMUST00000027040.12	protein_coding	1	7	0.21963291562563317	13.617899667536133	1	0	0
chr1	6214371	6214934	ZFP143_peak_12	6213293	6214590	ENSMUSG00000090031.2	4732440D04Rik	-	antisense	ENSMUST00000159618.1	antisense	1	62	0.6675275641087988	0.8657832506491119	0	0	0
chr1	7397415	7397920	ZFP143_peak_13	7349406	7397801	ENSMUSG00000097797.6	Gm26901	-	lincRNA	ENSMUST00000181554.1	lincRNA	1	134	0.14009742275085713	6.780014774027732	0	0	0
chr1	9700257	9700814	ZFP143_peak_15	9667415	9700209	ENSMUSG00000025912.16	Mybl1	-	protein_coding	ENSMUST00000088658.10	protein_coding	1	326	0.3427687467217875	11.240758279994296	1	1	1
chr1	9747919	9748904	ZFP143_peak_16	9718622	9748382	ENSMUSG00000045210.8	Vcpip1	-	protein_coding	ENSMUST00000057438.6	protein_coding	1	29	0.4421111550919027	13.157227975535024	1	1	1
chr1	9747919	9748904	ZFP143_peak_16	9747956	9791318	ENSMUSG00000097893.8	1700034P13Rik	+	antisense	ENSMUST00000181358.7	antisense	1	455	0.018525757142120625	0.8033138811966346	1	1	1
chr1	9908488	9908748	ZFP143_peak_17	9908638	9922525	ENSMUSG00000046101.16	Mcmdc2	+	protein_coding	ENSMUST00000052843.11	protein_coding	1	20	0.07773555695950225	1.0795136794966078	1	0	0
chr1	16104585	16105193	ZFP143_peak_19	16101295	16104662	ENSMUSG00000043716.13	Rpl7	-	protein_coding	ENSMUST00000058437.13	protein_coding	1	227	16.283205945180836	54.825554417423874	0	0	0
chr1	16104585	16105193	ZFP143_peak_19	16105774	16133734	ENSMUSG00000025921.7	Rdh10	+	protein_coding	ENSMUST00000027053.7	protein_coding	1	885	0.2024217183179861	5.659711244170892	1	1	1
chr1	16656908	16657549	ZFP143_peak_20	16642767	16657042	ENSMUSG00000079658.9	Eloc	-	protein_coding	ENSMUST00000115352.9	protein_coding	1	186	1.6623874237220393	23.73058047363211	1	1	1
chr1	20820170	20820698	ZFP143_peak_23	20802968	20820312	ENSMUSG00000041859.10	Mcm3	-	protein_coding	ENSMUST00000053266.10	protein_coding	1	122	4.488878441916201	77.85510769659462	1	1	1
chr1	33814311	33814904	ZFP143_peak_26	33792136	33814570	ENSMUSG00000042197.13	Zfp451	-	protein_coding	ENSMUST00000044455.7	protein_coding	1	37	0.7226699419870064	16.212377478536503	1	1	1
chr1	33907766	33907980	ZFP143_peak_28	33852052	33907816	ENSMUSG00000042182.16	Bend6	-	protein_coding	ENSMUST00000062289.10	protein_coding	1	57	0.035316217240828326	1.9693735382175508	0	0	0
chr1	33907766	33907980	ZFP143_peak_28	33908225	34307592	ENSMUSG00000026131.20	Dst	+	protein_coding	ENSMUST00000183034.4	protein_coding	5	352	0.8000238024819877	319.50310592582395	1	0	0
chr1	36307424	36307913	ZFP143_peak_34	36307754	36324029	ENSMUSG00000037447.16	Arid5a	+	protein_coding	ENSMUST00000137906.1	protein_coding	1	86	0.31359569441900087	5.103769926669239	1	1	1
chr1	37997181	37997744	ZFP143_peak_40	37985189	37997315	ENSMUSG00000058407.12	Txndc9	-	protein_coding	ENSMUST00000162031.7	protein_coding	1	147	1.472890478579695	17.860269943257382	1	1	1
