"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000051951.5" 9.60237930703517 0.605147163137934 1.01613519283255 0.595538041991284 0.551483878053909 NA
"ENSMUSG00000103922.1" 7.70978030260339 0.731269782371216 1.10425663921319 0.662228105680456 0.507825044404773 NA
"ENSMUSG00000033845.13" 786.398975842429 -0.21387701384406 0.15587151405554 -1.37213662894076 0.170020908578717 0.458660858526689
"ENSMUSG00000102275.1" 69.5120544824272 -0.111562841741166 0.384114734843591 -0.290441453089774 0.771478534752065 0.920692515118466
"ENSMUSG00000025903.14" 1784.19780484497 -0.26188584550996 0.141668263952684 -1.84858512558203 0.0645177421396277 0.259198793073883
"ENSMUSG00000104217.1" 3183.18414357112 -0.103727543522139 0.126968543747013 -0.81695466027253 0.413954339013481 0.716697617260013
"ENSMUSG00000033813.15" 1679.52520636514 0.110889592988914 0.133389869231009 0.831319451980806 0.405793188625824 0.710949744536172
"ENSMUSG00000002459.17" 39.1965443067374 0.968735573488425 0.519924762395735 1.86322261133445 0.0624309528914584 0.253363351877116
"ENSMUSG00000033793.12" 1332.67457193123 0.39293639959224 0.176669915872912 2.2241273940205 0.0261398742773897 0.145407384201514
"ENSMUSG00000025907.14" 571.959754773283 -0.055284339890142 0.174030334432211 -0.317670709939803 0.750734731262276 0.910451452951862
"ENSMUSG00000090031.2" 47.0024273817741 -0.264287753303781 0.429106784310461 -0.615902062067067 0.537959160527372 0.797714410126191
"ENSMUSG00000033740.17" 17.309554915136 1.03313548092949 0.751006747950549 1.37566737415989 0.168924637259008 0.457432448767189
"ENSMUSG00000051285.17" 2777.89104050242 0.133315365542379 0.131316281699285 1.0152234271122 0.309999335704263 0.625103227777694
"ENSMUSG00000103509.1" 110.25937467045 0.374093794862401 0.307473568269993 1.2166697676397 0.22372988613379 0.534126919766439
"ENSMUSG00000097797.6" 931.773700897239 1.78951894399067 0.15546526061171 11.5107319599853 1.16485489293169e-30 8.49685675596303e-28
"ENSMUSG00000103067.1" 34.0848308514128 0.872897816056334 0.520190421752809 1.67803515703934 0.0933402358952656 0.321917231120299
"ENSMUSG00000025909.16" 35.7805912096045 0.406627288972862 0.521318813951977 0.779997341531433 0.43539243997443 0.731628502148539
"ENSMUSG00000061024.8" 291.937518635216 -0.442117689757867 0.215863526189828 -2.04813521562264 0.040546752161535 0.194747455200135
"ENSMUSG00000025911.14" 261.667953578578 0.106544403825878 0.220243579000355 0.483757139751648 0.628558236061651 0.850909507496678
"ENSMUSG00000079671.8" 21.55196420546 0.121204930284633 0.633334132697856 0.191375964166542 0.848231049846625 0.950787443958624
"ENSMUSG00000025912.16" 538.899188859193 0.225637706370891 0.180042589000642 1.25324628813289 0.210116089075664 0.516273817577975
"ENSMUSG00000045210.8" 487.925966177284 -0.606249968760568 0.1774067825874 -3.41728743353934 0.000632484641227897 0.00868632988151863
"ENSMUSG00000097893.8" 191.602372696576 2.50959444979105 0.305713436708841 8.20897660504587 2.230816881902e-16 4.15849053640776e-14
"ENSMUSG00000025915.14" 694.194794631104 0.130483634163791 0.184411155169158 0.707569094961202 0.479212890549303 0.76188497683484
"ENSMUSG00000046101.16" 41.3736997485432 -1.86611721464295 0.487126855839029 -3.83086498367811 0.000127693564482476 0.00233367639577614
"ENSMUSG00000098234.7" 1964.17459983923 -0.493739811932042 0.12917494630922 -3.82225676138562 0.000132235893225463 0.00240359867892047
"ENSMUSG00000093178.1" 154.995757423577 -0.475900490264228 0.256459558115584 -1.85565511288038 0.0635027326880642 0.256245738844737
"ENSMUSG00000099032.2" 37.4254105186115 -0.0623856153264136 0.493360650554339 -0.126450326462634 0.89937546706933 0.971458865420047
