chrom	start_peak	end_peak	name_peak	start_gene	end_gene	gene_id	gene_name	strand_gene	gene_type	transcript_id	transcript_type	transcript_support	distance	sbs1_motif	sbs2_motif	sbs1_and_sbs2_motif
chr1	958597	959914	ZNF143_conserved_1	944203	959256	ENSG00000188976.11	NOC2L	-	protein_coding	ENST00000327044.7	protein_coding	1	1	1	0	0
chr1	958597	959914	ZNF143_conserved_1	960584	965719	ENSG00000187961.15	KLHL17	+	protein_coding	ENST00000338591.8	protein_coding	1	1329	1	1	1
chr1	1115702	1117021	ZNF143_conserved_2	1081823	1116089	ENSG00000131591.18	C1orf159	-	protein_coding	ENST00000421241.7	protein_coding	2	272	1	1	1
chr1	1374378	1376685	ZNF143_conserved_3	1373736	1375207	ENSG00000175756.14	AURKAIP1	-	protein_coding	ENST00000338338.10	protein_coding	1	324	1	0	0
chr1	1398948	1401160	ZNF143_conserved_4	1385711	1399335	ENSG00000221978.13	CCNL2	-	protein_coding	ENST00000400809.8	protein_coding	1	719	1	0	0
chr1	1398948	1401160	ZNF143_conserved_4	1399515	1402046	ENSG00000224870.9	MRPL20-AS1	+	lncRNA	ENST00000448629.8	lncRNA	1	539	1	0	0
chr1	1406596	1408222	ZNF143_conserved_5	1401909	1407293	ENSG00000242485.6	MRPL20	-	protein_coding	ENST00000344843.12	protein_coding	1	116	1	0	0
chr1	2525432	2527472	ZNF143_conserved_6	2508537	2526596	ENSG00000157881.16	PANK4	-	protein_coding	ENST00000378466.9	protein_coding	1	144	1	1	1
chr1	3649429	3650684	ZNF143_conserved_7	3630767	3650058	ENSG00000116213.16	WRAP73	-	protein_coding	ENST00000378322.7	protein_coding	1	2	1	1	1
chr1	3856517	3858547	ZNF143_conserved_8	3843109	3857214	ENSG00000116198.14	CEP104	-	protein_coding	ENST00000378223.3	protein_coding	1	318	1	1	1
chr1	3856517	3858547	ZNF143_conserved_8	3857476	3885429	ENSG00000169598.17	DFFB	+	protein_coding	ENST00000378209.8	protein_coding	1	56	1	0	0
chr1	6612572	6614893	ZNF143_conserved_9	6593193	6614560	ENSG00000162413.17	KLHL21	-	protein_coding	ENST00000467612.5	protein_coding	3	828	1	1	1
chr1	6612572	6614893	ZNF143_conserved_9	6613731	6624030	ENSG00000116273.6	PHF13	+	protein_coding	ENST00000377648.5	protein_coding	1	1	1	1	1
chr1	10430083	10431345	ZNF143_conserved_10	10430384	10451659	ENSG00000251503.8	CENPS-CORT	+	protein_coding	ENST00000470413.6	protein_coding	2	330	1	0	0
chr1	10430083	10431345	ZNF143_conserved_10	10430433	10442808	ENSG00000175279.22	CENPS	+	protein_coding	ENST00000309048.8	protein_coding	1	281	1	0	0
chr1	10471631	10473202	ZNF143_conserved_11	10462468	10472488	ENSG00000160049.12	DFFA	-	protein_coding	ENST00000377036.2	protein_coding	1	72	1	1	1
chr1	10474492	10475735	ZNF143_conserved_12	10474950	10630758	ENSG00000142655.13	PEX14	+	protein_coding	ENST00000356607.9	protein_coding	1	163	1	0	0
chr1	11979410	11981013	ZNF143_conserved_14	11980444	12013508	ENSG00000116688.18	MFN2	+	protein_coding	ENST00000235329.10	protein_coding	1	233	1	1	1
chr1	15526225	15527366	ZNF143_conserved_16	15518136	15526534	ENSG00000132906.18	CASP9	-	protein_coding	ENST00000469637.1	protein_coding	3	261	1	0	0
