#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
chr2	30078127	30078717	chr2:30078127-30078717	.	.	30078127	30078717	0	1	590	30078124	ZNF143 related (N=27801)
chr10	127511994	127512368	chr10:127511994-127512368	.	.	127511994	127512368	0	1	374	127511993	ZNF143 related (N=27801)
chr5	120103390	120103644	chr5:120103390-120103644	.	.	120103390	120103644	0	1	254	120103389	ZNF143 related (N=27801)
chr18	76378061	76378266	chr18:76378061-76378266	.	.	76378061	76378266	0	1	205	76378054	ZNF143 related (N=27801)
chr15	36792329	36794354	chr15:36792329-36794354	.	.	36792329	36794354	0	1	2025	36792326	ZNF143 related (N=27801)
chr13	58401187	58403226	chr13:58401187-58403226	.	.	58401187	58403226	0	1	2039	58401182	ZNF143 related (N=27801)
chr7	63937137	63939907	chr7:63937137-63939907	.	.	63937137	63939907	0	1	2770	63937131	ZNF143 related (N=27801)
chr11	95521543	95521968	chr11:95521543-95521968	.	.	95521543	95521968	0	1	425	95521534	ZNF143 related (N=27801)
chr7	128237102	128238746	chr7:128237102-128238746	.	.	128237102	128238746	0	1	1644	128237101	ZNF143 related (N=27801)
chr2	75703448	75705373	chr2:75703448-75705373	.	.	75703448	75705373	0	1	1925	75703441	ZNF143 related (N=27801)
chr8	95331344	95332586	chr8:95331344-95332586	.	.	95331344	95332586	0	1	1242	95331335	ZNF143 related (N=27801)
chr11	52098200	52099684	chr11:52098200-52099684	.	.	52098200	52099684	0	1	1484	52098195	ZNF143 related (N=27801)
chr16	94312656	94313026	chr16:94312656-94313026	.	.	94312656	94313026	0	1	370	94312647	ZNF143 related (N=27801)
chr5	23432931	23435374	chr5:23432931-23435374	.	.	23432931	23435374	0	1	2443	23432929	ZNF143 related (N=27801)
chr11	115858934	115859180	chr11:115858934-115859180	.	.	115858934	115859180	0	1	246	115858933	ZNF143 related (N=27801)
chr5	65696741	65698707	chr5:65696741-65698707	.	.	65696741	65698707	0	1	1966	65696735	ZNF143 related (N=27801)
chr13	17803287	17805740	chr13:17803287-17805740	.	.	17803287	17805740	0	1	2453	17803286	ZNF143 related (N=27801)
chr7	126502667	126503838	chr7:126502667-126503838	.	.	126502667	126503838	0	1	1171	126502666	ZNF143 related (N=27801)
chr5	137501653	137503152	chr5:137501653-137503152	.	.	137501653	137503152	0	1	1499	137501652	ZNF143 related (N=27801)
chr13	58127800	58129452	chr13:58127800-58129452	.	.	58127800	58129452	0	1	1652	58127795	ZNF143 related (N=27801)
chr4	155991917	155993495	chr4:155991917-155993495	.	.	155991917	155993495	0	1	1578	155991916	ZNF143 related (N=27801)
chr10	39731121	39733192	chr10:39731121-39733192	.	.	39731121	39733192	0	1	2071	39731118	ZNF143 related (N=27801)
chr5	72913769	72915307	chr5:72913769-72915307	.	.	72913769	72915307	0	1	1538	72913762	ZNF143 related (N=27801)
chr9	100644080	100644564	chr9:100644080-100644564	.	.	100644080	100644564	0	1	484	100644079	ZNF143 related (N=27801)
chr1	156035432	156036749	chr1:156035432-156036749	.	.	156035432	156036749	0	1	1317	156035431	ZNF143 related (N=27801)
chr11	107469069	107470907	chr11:107469069-107470907	.	.	107469069	107470907	0	1	1838	107469068	ZNF143 related (N=27801)
chr9	110532010	110533338	chr9:110532010-110533338	.	.	110532010	110533338	0	1	1328	110532009	ZNF143 related (N=27801)
chr3	135437759	135439758	chr3:135437759-135439758	.	.	135437759	135439758	0	1	1999	135437758	ZNF143 related (N=27801)
