chrom	start_peak	end_peak	name_peak	start_gene	end_gene	gene_id	gene_name	strand_gene	gene_type	transcript_id	transcript_type	transcript_support	distance	sbs1_motif	sbs2_motif	sbs1_and_sbs2_motif
chr1	6214323	6214967	ZFP143_conserved_1	6214645	6276648	ENSMUSG00000025907.14	Rb1cc1	+	protein_coding	ENSMUST00000027040.12	protein_coding	1	0	1	0	0
chr1	6214323	6214967	ZFP143_conserved_1	6213293	6214590	ENSMUSG00000090031.2	4732440D04Rik	-	antisense	ENSMUST00000159618.1	antisense	1	55	0	0	0
chr1	9700328	9700892	ZFP143_conserved_3	9667415	9700209	ENSMUSG00000025912.16	Mybl1	-	protein_coding	ENSMUST00000088658.10	protein_coding	1	401	1	1	1
chr1	9748066	9748811	ZFP143_conserved_4	9718622	9748382	ENSMUSG00000045210.8	Vcpip1	-	protein_coding	ENSMUST00000057438.6	protein_coding	1	56	1	1	1
chr1	9748066	9748811	ZFP143_conserved_4	9747956	9791318	ENSMUSG00000097893.8	1700034P13Rik	+	antisense	ENSMUST00000181358.7	antisense	1	482	0	1	0
chr1	16104142	16105573	ZFP143_conserved_5	16101295	16104662	ENSMUSG00000043716.13	Rpl7	-	protein_coding	ENSMUST00000058437.13	protein_coding	1	195	1	0	0
chr1	16104142	16105573	ZFP143_conserved_5	16105774	16133734	ENSMUSG00000025921.7	Rdh10	+	protein_coding	ENSMUST00000027053.7	protein_coding	1	917	1	1	1
chr1	16656669	16657474	ZFP143_conserved_6	16642767	16657042	ENSMUSG00000079658.9	Eloc	-	protein_coding	ENSMUST00000115352.9	protein_coding	1	29	1	1	1
chr1	16656669	16657474	ZFP143_conserved_6	16657552	16662278	ENSMUSG00000097744.1	D030040B21Rik	+	lincRNA	ENSMUST00000181371.1	lincRNA	1	481	1	0	0
chr1	36307431	36308007	ZFP143_conserved_7	36307754	36324029	ENSMUSG00000037447.16	Arid5a	+	protein_coding	ENSMUST00000137906.1	protein_coding	1	35	1	1	1
chr1	37996956	37997623	ZFP143_conserved_8	37985189	37997315	ENSMUSG00000058407.12	Txndc9	-	protein_coding	ENSMUST00000162031.7	protein_coding	1	26	1	1	1
chr1	37996956	37997623	ZFP143_conserved_8	37998010	38055579	ENSMUSG00000026083.12	Eif5b	+	protein_coding	ENSMUST00000027252.7	protein_coding	2	721	0	0	0
chr1	39367684	39368193	ZFP143_conserved_9	39367929	39371365	ENSMUSG00000073702.11	Rpl31	+	protein_coding	ENSMUST00000179954.7	protein_coding	1	9	1	0	0
chr1	43098096	43098966	ZFP143_conserved_10	43047200	43098622	ENSMUSG00000070939.9	Tgfbrap1	-	protein_coding	ENSMUST00000095014.7	protein_coding	1	91	1	0	0
chr1	43098096	43098966	ZFP143_conserved_10	43098710	43115947	ENSMUSG00000010290.7	AI597479	+	protein_coding	ENSMUST00000010434.7	protein_coding	1	179	0	0	0
chr1	44102059	44102731	ZFP143_conserved_11	44086613	44102391	ENSMUSG00000026049.11	Tex30	-	protein_coding	ENSMUST00000027215.11	protein_coding	1	4	1	0	0
chr1	44118632	44119607	ZFP143_conserved_12	44106546	44118808	ENSMUSG00000026047.13	Poglut2	-	protein_coding	ENSMUST00000065767.8	protein_coding	1	311	1	1	1
chr1	44118632	44119607	ZFP143_conserved_12	44119162	44144510	ENSMUSG00000041684.11	Bivm	+	protein_coding	ENSMUST00000035991.7	protein_coding	1	43	1	0	0
chr1	55027309	55027764	ZFP143_conserved_13	54985169	55027481	ENSMUSG00000025982.13	Sf3b1	-	protein_coding	ENSMUST00000027127.13	protein_coding	1	55	1	0	0
